"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"University of Aberdeen",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0,3,0,0,6,1.2,0.5,0.5,0,0.5,0.5,0.5,0,0,0,1,1,1,2,2,0,1,0.5,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,3,"",1,"",7622596,2,"",8.03,4,"",2,"",36.57,2,"",94.21,1,"",1,"",1791.3,0,"",-12.63,1,"",1,"",15.98,0,"",0,25,34,45,34,"2:1",""
"University of Abertay Dundee",0,2,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","Yes","No","No","Yes","No","No",1,"No","No","Yes","No","No",0,1," (Nb: value not an option listed in question defniition)",10,1,"",0,"",0,0,"",0,0,"",0,"D73_C01_waste_total:No EMS data, D73_C01a_waste_recycled:No EMS data, LY_D73_C1_waste_total:No EMS Last Year, LY_D73_C1_waste_recycled:No EMS Last Year",0,0,"D73_C01_waste_total:No EMS data, D04_C04_students_fte_teaching:3887.4, D04_C07_students_fte_research:53.0, D05_C01_staff_fte:575.1, LY_D73_C1_waste_total:No EMS Last Year, LY_fte:4333.34",0,3,"",3,"",912.35,0,"D38c_C01_carbon_total:4119704, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:3670512.17",0,4,"",4,"",4.14,0,"",0,7.5,15.5,131,119,"Fail",""
"Aberystwyth University",1,2,"No","No","No","No","Yes","No","No","Yes",0,0,1,0,0,4,0.6,0.5,0.5,0,0.5,0,0,0.5,0.5,0,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","Yes","No",2,"Yes","No","No","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,6,"",3,"",54.29,3,"",85.02,2,"",2,"",1475.41,0,"",-11.98,0,"",0,"",23.87,0,"",0,16,24,108,87,"3rd",""
"Anglia Ruskin University",1,2,"No","No","Yes","No","Yes","Yes","Yes","No",0,0,1,0,2,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","Yes","No",2,"No","No","Yes","Yes","No",1,1," (Nb: value not an option listed in question defniition)",21,1,"",0,"",0,0,"",0,3,"",2,"",43.44,1,"",194.84,6,"",6,"",504.4,0,"",-4.35,4,"",4,"",4.42,0,"",0,26,40,20,10,"1st",""
"Arts University College at Bournemouth",1,2,"No","Yes","No","No","No","No","No","No",0,0,0,0.8,0,6,1.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","Yes","Yes","No","No",0.5,"No","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No",1,"No","No","Yes","No","No",0,3," (Nb: value not an option listed in question defniition)",100,4,"",0,"",0,1,"",0.14,3,"",0,"",18.46,3,"",83.16,6,"",6,"",468.44,0,"",-13.73,4,"",4,"",2.32,0,"",0,11,28,87,0,"2:2",""
"Aston University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1.75,0.5,2.2,8,2.6,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","Yes","No",0,"No","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",3,"No","No","Yes","Yes","Yes",1,2," (Nb: value not an option listed in question defniition)",57.8,2,"",0,"",0,0,"",0,8,"",4,"",79.7,4,"",48.95,5,"",2,"",1431.62,3,"",15.09,4,"",4,"",3.78,0,"",0,30,49,4,5,"1st",""
"Bangor University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes",0,0,0,0.5,1,4,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","No","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No",3,"No","Yes","Yes","No","No",1,1," (Nb: value not an option listed in question defniition)",15,3,"",1,"",264515,1,"",0.05,3,"",1,"",29.67,2,"",102.05,4,"",3,"",1175.7,1,"",4.76,2,"",1,"",14.55,1,"",0.157,26,38,28,17,"1st",""
"Bath Spa University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0.5,2,8,3.1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0,"No","No","No","No","No",0,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,7,"",3,"",60.27,4,"",36.36,7,"",6,"",596.09,1,"",2.97,4,"",3,"",6.17,1,"",0.0053,28,46,6,11,"1st",""
"University of Bath",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.5,2,0,1,6,1.5,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,1,0,2,2,0,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes",3,"No","No","No","No","No",0,2," (Nb: value not an option listed in question defniition)",86,4,"",1,"",520101,1,"",0.08,3,"",3,"",58.96,0,"",720.56,3,"",1,"",1698.38,2,"",6.3,0,"",0,"",23.05,0,"",0,26,36,37,77,"2:1",""
"University of Bedfordshire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0.5,1,4,0.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,1,1,0,2,1,0,0,0.5,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"No","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No",2,"Yes","No","Yes","No","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",2,"",44.77,1,"",172.51,5,"",5,"",613.74,0,"",-31.31,2,"",2,"",8.01,0,"",0,23,33,55,124,"2:1",""
"Birkbeck, University of London",1,2,"Yes","No","Yes","Yes","Yes","Yes","Yes","No",0,0.25,0,0,0,0,0.1,0.5,0,0,0.5,0.5,0,0,0,1,0,0,0,2,1,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",0,"",20.75,4,"",41.14,6,"",6,"",467.82,0,"",-22.07,4,"",4,"",2.38,0,"",0,11.5,25.5,102,89,"3rd",""
"Birmingham City University",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","Yes",0,0,1.5,0,1,4,0.8,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0.5,0,0,0,"No","Yes","No","No","No",0,"Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No",3,"No","Yes","Yes","Yes","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",4,"",88.36,0,"",539.28,5,"",4,"",744.74,1,"",2.54,3,"",3,"",6.08,0,"",0,22,34,45,29,"2:1",""
"University of Birmingham",1,2,"No","Yes","Yes","No","Yes","No","No","No",0,0.8,5.8,0,1,8,2.5,0.5,0.5,0,0.5,0.5,0,0,0,2,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",72550270,0,"",0,3,"",2,"",44.34,1,"",182.8,4,"",1,"",1912.83,3,"",14.66,1,"",1,"",17.17,0,"",0,20,29,78,34,"2:2",""
"Bishop Grosseteste University College Lincoln",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",5.97,2,"",134.38,5,"",5,"",675.24,0,"",-14.42,3,"",3,"",6.3,0,"",0,0,0,0,0,"Did not sit exam",""
"University of Bolton",1,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",2,"",44.12,2,"",98.05,10,"",6,"",587.28,4,"",26,4,"",4,"",5.2,0,"",0,1,19,123,127,"Fail",""
"Bournemouth University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,2.5,0,2,6,1.8,0.5,0.5,0.5,0.5,0.5,0,0,0.5,3,1,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No",3,"No","Yes","Yes","Yes","Yes",2,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.01,5,"",2,"",43.08,3,"",57.2,5,"",5,"",607.96,0,"",-14.03,3,"",3,"",5.86,0,"",0,30,44,14,20,"1st",""
"University of Bradford",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0,2.5,6,1.6,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","No","No","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"Yes","Yes","No","Yes","Yes",2,1," (Nb: value not an option listed in question defniition)",35,1,"",0,"",0,0,"",0,5,"",4,"",82.55,1,"",195.83,4,"",3,"",1137.5,1,"",0.08,3,"",3,"",6.27,0,"",0,30.5,43.5,15,7,"1st",""
"University of Brighton",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0,1.5,1.2,0,4,0.9,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,1,1,1,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","No","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,"Yes","Yes","Yes","Yes","Yes",2,2," (Nb: value not an option listed in question defniition)",85,4,"",1,"",62838,1,"",0.03,0,"",0,"",11.57,0,"",305.76,5,"",5,"",661.53,0,"",-14.6,5,"",4,"",4.93,1,"",0.0387,25.5,39.5,23,31,"1st",""
"University of Bristol",1,2,"Yes","Yes","Yes","Yes","Yes","No","No","No",0,0,5.5,0,1,8,2.2,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,3.5,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","No","Yes","No","No","Uncertain score","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",12321088,0,"",0,3,"",2,"",38.01,1,"",138.53,0,"",0,"",2301.55,0,"",-13.47,0,"",0,"",19.81,0,"",0,25,29,78,32,"2:2",""
"Brunel University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,2,4,0.7,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,1,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No",3,"No","No","Yes","No","No",0,3," (Nb: value not an option listed in question defniition)",100,3,"",0,"",0,0,"",0,3,"",1,"",32.38,2,"",99.19,2,"",2,"",1441.52,0,"",-5.09,0,"",0,"",21.27,0,"",0,23.5,31.5,62,107,"2:1",""
"Buckinghamshire New University",1,2,"Yes","No","No","Yes","Yes","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","No","No","No",0.5,"Yes","No","No","No","No","No","No","No","No","No","No","No","Not Assessed yet",0,"Yes","No","Yes","No","No",1,2," (Nb: value not an option listed in question defniition)",49,2,"",0,"",0,0,"",0,1,"",0,"",21.98,1,"",159.31,9,"",5,"",702.12,4,"",27.67,4,"",4,"",4.79,0,"",0,9.5,25.5,102,113,"3rd",""
"University of Cambridge",1,2,"Yes","No","Yes","Yes","Yes","Yes","Yes","No",0,0,3,0,3,8,2,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,3,0,1,0,2,0,0,1,0.5,0.5,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",1530000,1,"",0.09,1,"",1,"",29.26,0,"",307.5,0,"",0,"",2879.62,0,"",-9.3,3,"",2,"",11.99,1,"",0.0387,24.5,30.5,67,89,"2:2",""
"Canterbury Christ Church University",1,0,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",0,0,2,0,1,6,1.3,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0,"Yes ","No","Yes","Yes","Yes",0.5,"Yes","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes",3,"No","Yes","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",1,"",25.12,3,"",64.19,5,"",5,"",696.94,0,"",-37.62,3,"",3,"",5.66,0,"",0,26,38,28,56,"1st",""
"Cardiff University",1,2,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",0,1,0,0,0,0,0.3,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","Yes","No","No",0,"Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No",1,"Yes","No","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",3,"",52.08,1,"",139.72,2,"",2,"",1359.23,0,"",-39.11,2,"",2,"",10.61,0,"",0,7.5,15.5,131,77,"Fail",""
"The Central School of Speech And Drama",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",3,"",60.2,1,"",207.02,4,"",4,"",726.84,0,"",-12.77,2,"",2,"",9.21,0,"",0,0,0,0,0,"Did not sit exam",""
"University of Chester",1,2,"No","No","Yes","No","Yes","No","No","Yes",0,0,0,0,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,1,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"No","Yes","Yes","No","No",0.5,"No","No","Yes","Yes","No","Yes","No","Yes","No","Yes","No","Yes","No",2,"Yes","Yes","No","No","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",3,"",49.34,2,"",116.79,4,"",3,"",917.21,1,"",1.18,2,"",2,"",12.46,0,"",0,14,25,105,48,"3rd",""
"University of Chichester",1,2,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",0,0.5,1,0.5,0,8,2.5,0.5,0.5,0,0.5,0,0.5,0.5,0.5,1,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No",2,"Yes","Yes","Yes","No","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",2,"",41.9,0,"",326.13,4,"",4,"",773.8,0,"",-29.25,2,"",2,"",10.37,0,"",0,27,35,41,82,"2:1",""
"City University London",1,2,"No","Yes","Yes","Yes","Yes","No","Yes","No",0,0,0,0,2,4,0.8,0.5,0.5,0,0.5,0.5,0,0,0,2,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","No",1,"No","Yes","Yes","No","No","No","Yes","No","Yes","Yes","Yes","Yes","No",2,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",2,"",35.49,1,"",146.12,9,"",5,"",674.28,4,"",24.01,3,"",3,"",5.5,0,"",0,19,34,45,41,"2:1",""
"Courtauld Institute of Art",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",1,"",33.33,4,"",2.77,1,"",1,"",1685.42,0,"",-88.35,2,"",2,"",10.88,0,"",0,0,0,0,0,"Did not sit exam",""
"Coventry University",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0,1,0,2,6,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0.5,0,0,0,"No","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",18457595,1,"",0.08,4,"",4,"",82.35,0,"",348.77,5,"",5,"",692.57,0,"",-6.49,4,"",4,"",4.77,0,"",0,21,36,37,53,"2:1",""
