"Organisation","gl11_q1_a/singleChoice","gl11_q1_b/singleChoice","gl11_q1_c_waste/singleChoice","gl11_q1_c_transport/singleChoice","gl11_q1_c_procurement/singleChoice","gl11_q1_c_water/singleChoice","gl11_q1_c_construction/singleChoice","gl11_q1_c_emissions/singleChoice","gl11_q1_c_community/singleChoice","gl11_q1_c_biodiversity/singleChoice","gl11_q1_c/singleChoice","gl11_q2_a_pt_sole/quantity","gl11_q2_b_ft_specific/quantity","gl11_q2_c_ft_partial/quantity","gl11_q2_d_ft_sole/quantity","gl11_q2/singleChoice","gl11_q2/quantity","gl11_q3_a_waste/singleChoice","gl11_q3_a_transport/singleChoice","gl11_q3_a_procurement/singleChoice","gl11_q3_a_energy/singleChoice","gl11_q3_a_water/singleChoice","gl11_q3_a_construction/singleChoice","gl11_q3_a_emissions/singleChoice","gl11_q3_a_biodiversity/singleChoice","gl11_q3_b/singleChoice","gl11_q4_a/singleChoice","gl11_q4_bc/singleChoice","gl11_q4_d/singleChoice","gl11_q5_a/singleChoice","gl11_q5_b/singleChoice","gl11_q5_c/singleChoice","gl11_q5_d/singleChoice","gl11_q5_e/singleChoice","gl11_q5_f/singleChoice","gl11_q6_a_fairtrade/gateway","gl11_q6_a_fairtrade/singleChoice","gl11_q6_a_fairtrade/multiChoice","gl11_q6_b/singleChoice","gl11_q6_c/singleChoice","gl11_q7_a/singleChoice","gl11_q7_b/singleChoice","gl11_q7_c_i/singleChoice","gl11_q7_c_ii_fish/singleChoice","gl11_q7_c_iii_veg/singleChoice","gl11_q7_c_iv_water/singleChoice","gl11_q7_c_v_award/singleChoice","gl11_q7_c/singleChoice","gl11_q8_a/singleChoice","gl11_q8_b/singleChoice","gl11_q8_c/singleChoice","gl11_q8_d/singleChoice","gl11_q8_e/singleChoice","gl11_q8_f/singleChoice","gl11_q8_g/singleChoice","gl11_q8_h/singleChoice","gl11_q8_i/singleChoice","gl11_q8_j/singleChoice","gl11_q8_k/singleChoice","gl11_q8_l/singleChoice","gl11_q8_m/singleChoice","gl11_q8/singleChoice","gl11_q9_a/singleChoice","gl11_q9_b/singleChoice","gl11_q9_c/singleChoice","gl11_q9_d/singleChoice","gl11_q9_e/singleChoice","gl11_q9/singleChoice","gl11_q10_1_energy_renewable_pc/singleChoice","gl11_q10_1_energy_renewable_pc/multiChoice","gl11_q10_1_energy_renewable_pc/quantity","gl11_q10_energy_total/singleChoice","gl11_q10_energy_total/multiChoice","gl11_q10_2_energy_chp/singleChoice","gl11_q10_2_energy_chp/multiChoice","gl11_q10_2_energy_chp/quantity","gl11_q10_3_energy_lzc/singleChoice","gl11_q10_3_energy_lzc/multiChoice","gl11_q10_3_energy_lzc/quantity","gl11_q11_waste_total/singleChoice","gl11_q11_waste_total/multiChoice","gl11_q11_1_waste_recycled/singleChoice","gl11_q11_1_waste_recycled/multiChoice","gl11_q11_1_waste_recycled/quantity","gl11_q11_2_waste_kgph/singleChoice","gl11_q11_2_waste_kgph/multiChoice","gl11_q11_2_waste_kgph/quantity","gl11_q12_carbon_total/singleChoice","gl11_q12_carbon_total/multiChoice","gl11_q12_1_carbon_ph/singleChoice","gl11_q12_1_carbon_ph/multiChoice","gl11_q12_1_carbon_ph/quantity","gl11_q12_2_carbon_reduction/singleChoice","gl11_q12_2_carbon_reduction/multiChoice","gl11_q12_2_carbon_reduction/quantity","gl11_q13_water_total/singleChoice","gl11_q13_water_total/multiChoice","gl11_q13_1_water_ph/singleChoice","gl11_q13_1_water_ph/multiChoice","gl11_q13_1_water_ph/quantity","gl11_q13_2_water_grey/singleChoice","gl11_q13_2_water_grey/multiChoice","gl11_q13_2_water_grey/quantity","gl11_total_score/singleChoice","gl11_total_score/quantity","gl11_rank/quantity","gl11_last_year_rank/quantity","gl11_class/singleChoice",""
"University of Salford",1,2,"No","Yes","Yes","No","Yes","No","No","Yes",0,0.6,1,0,2,6,1.2,0.5,0.5,0,0,0.5,0,0,0.5,2,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No",2,"No","No","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,3,"",1,"",26.54,2,"",129.27,7,"",4,"",739.45,3,"",13.23,4,"",4,"",4.16,0,"",0,21.5,35.5,39,122,"2:1",""
"The School of Pharmacy",1,2,"Yes","No","Yes","No","No","No","Yes","No",0,0.25,0,0,0,6,1.3,0,0,0,0.5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","Yes","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",0,"",6.74,1,"",214.18,1,"",1,"",1722.07,0,"",-7.48,2,"",2,"",8.72,0,"",0,12,16,130,127,"Fail",""
"Scottish Agricultural College",1,2,"Yes","Yes","No","Yes","No","No","No","No",0,0,1,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,2,2,0,1,0,0,"",0,"No Fairtrade Data",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","Yes","Yes","Yes","Yes","No",1,"Yes","No","No","No","No",0,0,"ZERO",0,0,"",0,"No EMS data",0,0,"D38a_C01_energy_total:No EMS data, D72d_C01_energy_renewable:No EMS data",0,0,"",0,"D73_C01_waste_total:No EMS data, D73_C01a_waste_recycled:No EMS data, LY_D73_C1_waste_total:No EMS Last Year, LY_D73_C1_waste_recycled:No EMS Last Year",0,0,"D73_C01_waste_total:No EMS data, D04_C04_students_fte_teaching:No EMS data, D04_C07_students_fte_research:No EMS data, D05_C01_staff_fte:No EMS data, LY_D73_C1_waste_total:No EMS Last Year, LY_fte:No EMS Last Year",0,0,"",0,"D38c_C01_carbon_total:No EMS data, D04_C04_students_fte_teaching:No EMS data, D04_C07_students_fte_research:No EMS data, D05_C01_staff_fte:No EMS data, LY_fte:No EMS Last Year, LY_D38c_C1_carbon:No EMS Last Year",0,0,"D38c_C01_carbon_total:No EMS data, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:No EMS Last Year",0,0,"",0,"D38b_C01_water_total:No EMS data, D04_C04_students_fte_teaching:No EMS data, D04_C07_students_fte_research:No EMS data, D05_C01_staff_fte:No EMS data, LY_fte:No EMS Last Year, LY_D38b_water_total:No EMS Last Year",0,0,"D38b_C01_water_total:No EMS data, D77a_C01_water_grey:No EMS data, LY_D77a_water_grey:No EMS Last Year, LY_D38b_water_total:No EMS Last Year",0,10,10,137,0,"Fail",""
"Sheffield Hallam University",1,2,"Yes","Yes","No","Yes","Yes","Yes","Yes","No",0,0,2,0,1,6,1,0.5,0.5,0,0.5,0.5,0.5,0,0.5,0,1,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,"No","No","Yes","No","No",0,2," (Nb: value not an option listed in question defniition)",47,2,"",0,"",0,0,"",0,4,"",0,"",23.08,4,"",34.27,7,"",6,"",460.05,1,"",4.61,5,"",4,"",2.65,1,"",0.005,20.5,38.5,27,34,"1st",""
"University of Sheffield",1,2,"No","No","No","No","Yes","No","No","No",0,0.5,4,0,1,6,1.8,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0.5,0,0,"No","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"D38a_C01_energy_total:126679498, D72d_C01_energy_renewable:",0,4,"",4,"",87.75,0,"",649.08,2,"",2,"",1439.55,0,"",-13.19,1,"",1,"",13.8,0,"",0,16.5,23.5,111,86,"3rd",""
"School of Oriental And African Studies",1,0,"No","No","No","No","Yes","No","No","No",0,0.45,0,0,0,4,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Missing information","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","No","No","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",3912400,0,"",0,5,"",3,"",51.49,2,"",130.45,3,"",3,"",885.49,0,"",-53.59,4,"",4,"",4.82,0,"",0,12,25,105,107,"3rd",""
"London South Bank University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,2.5,4,0.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,1,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0.5,"No","No","No","No","Yes",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No",2,"No","Yes","Yes","Yes","Yes",2,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",1,"",26.15,3,"",68.18,5,"",5,"",665.27,0,"",-7.36,3,"",3,"",7.2,0,"",0,26,38,28,20,"1st",""
"Southampton Solent University",1,2,"Yes","No","No","Yes","Yes","No","No","No",0,0,0,0,1,0,0.4,0.5,0.5,0,0.5,0.5,0,0,0.5,0,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",2,"",35.77,3,"",52.9,5,"",5,"",627.38,0,"",-21.31,3,"",3,"",6.93,0,"",0,16,29,78,111,"2:2",""
"University of Southampton",1,2,"No","Yes","Yes","No","Yes","No","No","No",0,0,3,0,2,6,1.7,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,0,0,0,0,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","No","No","Yes","Yes","No","No","Yes","No",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",26794665,0,"",0,4,"",4,"",90.08,0,"",1300.38,6,"",2,"",1499.54,4,"",35.14,1,"",0,"",22.24,1,"",0.2843,20,32,58,63,"2:1",""
"University of St Andrews",1,2,"No","No","No","No","Yes","No","No","No",0,0,4,0,0,8,2.6,0,0.5,0,0.5,0.5,0,0,0.5,0,1,1,1,2,2,1,1,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0.5,"Yes ","No","No","No","No",0,"No","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No",3,"Yes","Yes","Yes","Yes","Yes",2,2," (Nb: value not an option listed in question defniition)",47,2,"",0,"",0,0,"",0,5,"",4,"",68.74,1,"",244.25,0,"",0,"",2682.73,0,"",-20.88,1,"",0,"",25.5,1,"",0.2813,29,37,31,32,"1st",""
"St George's, University of London",1,2,"Yes","Yes","No","No","No","No","No","Yes",0,0,1,0,1,8,3.6,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","No","No","No","Yes","Yes","No",1,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,2,"",1,"",4742798,1,"",0.08,3,"",2,"",42.59,1,"",171,0,"",0,"",2984.17,0,"",-14.53,0,"",0,"",34.51,0,"",0,15.5,20.5,122,89,"3rd",""
"St Mary's University College, Twickenham",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",23.19,2,"",122.72,3,"",3,"",911.38,0,"D38c_C01_carbon_total:4099484, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:4027301",0,3,"",3,"",7.56,0,"",0,0,0,0,0,"Did not sit exam",""
"Staffordshire University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,1,0.5,1,6,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","Yes","Yes","No","Yes",0.5,"Yes","No","Yes","No","No","No","Yes","No","No","Yes","Yes","Yes","No",2,"No","No","Yes","No","No",1,1," (Nb: value not an option listed in question defniition)",35,1,"",0,"",0,0,"",0,5,"",3,"",61.41,2,"",108.05,4,"",3,"",976.77,1,"",0.4,2,"",2,"",11.05,0,"",0,24.5,36.5,34,104,"2:1",""
"University of Stirling",1,2,"Yes","No","No","Yes","Yes","No","Yes","No",0,0,1,0,0,4,0.6,0.5,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","Yes","No","No",0,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","No",3,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",1,"",28.43,3,"",78.86,1,"",1,"",1758.79,0,"",-0.63,0,"",0,"",31.21,0,"",0,16.5,21.5,118,101,"3rd",""
"University of Strathclyde",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0.75,1,0,1,4,0.9,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,1,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes",3,"No","No","Yes","No","Yes",1,3," (Nb: value not an option listed in question defniition)",100,3,"",0,"",0,0,"",0,4,"",0,"",21.94,4,"",22.94,1,"",1,"",1806.03,0,"",-3.27,1,"",1,"",16.14,0,"",0,21.5,30.5,67,121,"2:2",""
"University of Sunderland",1,2,"Yes","Yes","Yes","No","No","No","Yes","No",0,0,1.25,0.33,1,6,1.2,0.5,0.5,0,0.5,0,0.5,0,0,0,0,1,0,2,2,0,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0.5,"Yes ","Yes","Yes","No","No",0.5,"No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,5,"",4,"",69.2,1,"",182.6,4,"",3,"",936.84,1,"",4.98,3,"",3,"",6.74,0,"",0,23,35,41,77,"2:1",""
"University of Surrey",1,0,"Yes","No","Yes","No","Yes","No","No","No",0,0,1,0,1,4,0.8,0,0.5,0,0.5,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","No","No","No","No","Not yet assessed","No","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","Yes","No",2,"No","No","Yes","No","No",0,3," (Nb: value not an option listed in question defniition)",100,6,"",1,"",12301180,2,"",2.29,4,"",2,"",43.94,2,"",123.35,1,"",1,"",1772.89,0,"",-8.96,1,"",0,"",24.65,1,"",0.9029,11.5,23.5,111,65,"3rd",""
"University of Sussex",1,2,"No","No","Yes","No","Yes","No","Yes","No",0,0,2.25,0,1,6,1.5,0.5,0,0,0.5,0,0.5,0,0.5,3,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","No","No",2,"No","No","No","No","No",0,2," (Nb: value not an option listed in question defniition)",57,3,"",1,"",11270058,0,"",0,4,"",4,"",97.88,0,"",4317.01,2,"",2,"",1620.07,0,"",-1.95,0,"",0,"",23.99,0,"",0,20,29,78,57,"2:2",""
"Swansea University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","No","No",0,0,0,0,1,0,0.4,0.5,0.5,0.5,0.5,0.5,0,0.5,0.5,3,0,0,0,0,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0,"No","No","No","No","No",0,"Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No",1,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",3558840,0,"",0,4,"",1,"",33.6,3,"",66.53,3,"",3,"",1181.05,0,"",-6.25,1,"",1,"",15.3,0,"",0,12,21,121,116,"3rd",""
"Swansea Metropolitan University",1,0,"No","Yes","Yes","No","No","No","No","No",0,0.5,0,0,0,4,0.5,0,0.5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","Yes",2,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.06,5,"",2,"",38.6,3,"",65.86,6,"",6,"",557.07,0,"",-3.63,4,"",4,"",3.69,0,"",0,11.5,27.5,91,22,"2:2",""
"Teesside University",1,2,"Yes","Yes","Yes","No","Yes","Yes","Yes","No",0,0,1.5,0,0,4,0.6,0.5,0.5,0,0.5,0.5,0,0,0.5,0,1,1,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0,0,0,0,"No","No","No","No","No",0,"Yes","No","Yes","No","No","No","No","Yes","No","Yes","No","Yes","No",2,"No","No","No","No","Yes",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,4,"",0,"",19.13,4,"",44.02,5,"",5,"",657.23,0,"",-14.84,4,"",4,"",4.17,0,"",0,18.5,31.5,62,98,"2:1",""
"Thames Valley University",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0.5,0.5,"No","Yes","No","No","No",0,"No","No","Yes","No","Yes","No","Yes","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",16.66,2,"",96.71,5,"",5,"",608.45,0,"",-11.04,4,"",4,"",4.47,0,"",0,8,19,123,119,"Fail",""
"University of The West of Scotland",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1.1,0,0,0,4,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,2,2,0,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","Yes","Yes","No","No",0.5,"Yes","No","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No",2,"No","No","Yes","Yes","Yes",1,2," (Nb: value not an option listed in question defniition)",83,2,"",0,"",0,0,"",0,5,"",3,"",59.82,2,"",128.31,3,"",3,"",853.05,0,"",-42.47,3,"",3,"",6.86,0,"",0,21,34,45,72,"2:1",""
"University of Wales, Trinity St. David",0,0,"Yes","Yes","No","No","No","Yes","Yes","No",0,0,0,0.5,0,8,2.1,0.5,0.5,0,0.5,0.5,0.5,0,0.5,3.5,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",1,"",574219,0,"",0,7,"",4,"",77.14,3,"",50.35,5,"",1,"",1905.08,4,"",49.2,1,"",1,"",15.93,0,"",0,14.5,28.5,83,0,"2:2",""
"University of Central Lancashire",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,1.6,3,0,0,6,1.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,4,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","Yes","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",3,"Yes","Yes","Yes","Yes","Yes",2,2," (Nb: value not an option listed in question defniition)",65,4,"",1,"",147000,1,"",0.2,4,"",2,"",43.89,2,"",116.21,4,"",4,"",720.8,0,"",-3.58,3,"",3,"",5.49,0,"",0,30.5,45.5,7,4,"1st",""
"University College London",1,2,"Yes","No","Yes","No","Yes","No","No","No",0,0,1,0,1,4,0.7,0.5,0.5,0,0.5,0.5,0,0,0.5,2,1,1,1,2,0,1,1,0.5,0.5,"Has achieved Fairtrade status",1,"",0,0,0,0,"Yes ","Yes","Yes","Yes","No",1,"Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes",2,"Yes","Yes","Yes","No","No",1,0,"UNANSWERED",0,1,"",1,"",30854190,0,"",0,5,"",3,"",55.18,2,"",113.32,0,"",0,"",2536.45,0,"",-62.18,1,"",1,"",18.33,0,"",0,24.5,31.5,62,48,"2:1",""
"University of East London",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,0,0,2,4,0.7,0,0.5,0,0.5,0.5,0,0,0.5,1,0,0,0,2,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.05,4,"",4,"",96.16,0,"",670.04,9,"",6,"",533.44,3,"",11.82,3,"",3,"",5.99,0,"",0,17,34,45,63,"2:1",""
"University of Ulster",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes",2,0,3.1,0,1,6,1.4,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,0,1,0,0,2,0,1,1,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"Yes","No","Yes","No","No","Yes","Yes","Yes","No","Yes","No","Yes","No",2,"No","No","Yes","No","Yes",1,1," (Nb: value not an option listed in question defniition)",10,4,"",1,"",5494000,2,"",2.71,6,"",2,"",38.9,4,"",38.95,6,"",4,"",844.52,2,"",7.26,4,"",3,"",7.29,1,"",0.0031,22.5,42.5,18,104,"1st",""
"University College Birmingham",0,0,"No","No","No","No","No","No","No","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","No","No","No","No","No","No","No","No",0,"No","No","No","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,1,"",0,"",7.15,1,"",263.41,4,"",4,"",750.46,0,"",-17.02,2,"",2,"",11.9,0,"",0,0,0,0,0,"Did not sit exam",""
"University College Plymouth Marjon",1,0,"Yes","No","No","Yes","Yes","Yes","Yes","No",0,0,0,1,0,8,2.1,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","No","No","No",0,"No","No","No","No","No","Yes","No","No","No","No","Yes","No","No",0,"No","No","Yes","No","No",0,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,2,"",0,"",21.79,2,"",113.21,8,"",4,"",808.89,4,"",30.74,2,"",2,"",11.58,0,"",0,10,22,117,133,"3rd",""
"University of The Arts, London",1,2,"Yes","No","Yes","No","Yes","No","No","No",0,0,0,0,1,0,0.3,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","No","Yes","No","No",0.5,"Yes","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","Yes","No",2,"Yes","No","No","Yes","No",1,0," (Nb: value not an option listed in question defniition)",0,0,"",0,"",0,0,"",0,7,"",4,"",64.84,3,"",80.72,5,"",5,"",603.23,0,"D38c_C01_carbon_total:13070207, Baseline_2005_carbon:No 2005 baseline, LY_D38c_C1_carbon:14041020.89",0,4,"",4,"",5,0,"",0,11,27,94,72,"2:2",""
"University Of Wales Institute, Cardiff",1,2,"Yes","Yes","Yes","Yes","Yes","No","Yes","No",0,0,1,0,1,6,1.1,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,1,1,0,2,2,0,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"No","No","Yes","No","No",0,"No","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","Yes","No",3,"No","No","Yes","No","Yes",1,0," (Nb: value not an option listed in question defniition)",0,1,"",0,"",0,1,"",0.01,4,"",1,"",33.22,3,"",58.97,7,"",5,"",682.8,2,"",6.94,5,"",3,"",7.18,2,"",1.6118,22,39,24,70,"1st",""
"University of The West of England, Bristol",1,0,"Yes","No","Yes","Yes","Yes","No","No","No",0,0.6,6,0,1,8,2.5,0.5,0.5,0,0.5,0,0,0,0,1,0,0,0,2,0,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0.5,0.5,"Yes ","No","Yes","No","Yes",0.5,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Yes",3,"No","No","Yes","Yes","Yes",1,1," (Nb: value not an option listed in question defniition)",35,2,"",0,"",0,1,"",0.01,5,"",2,"",42.6,3,"",72.64,6,"",6,"",588.48,0,"",-8.59,3,"",2,"",8.97,1,"",0.0215,20.5,36.5,34,17,"2:1",""
"University of Warwick",1,2,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",0,0,2.5,0,1,6,1.2,0.5,0.5,0,0.5,0.5,0,0,0,0,0,0,0,2,2,0,0,0,0,"Has achieved Fairtrade status",1,"",0.5,0,0,0,"No","No","Yes","No","No",0,"Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No",3,"No","No","No","No","No",0,0,"ZERO",0,2,"",1,"",72933116,1,"",0.01,3,"",1,"",29.2,2,"",124.2,1,"",0,"",2054.41,1,"",2.09,1,"",0,"",26.41,1,"",0.0017,19.5,26.5,97,65,"2:2",""
"University of Westminster",1,0,"Yes","No","Yes","No","No","No","No","Yes",0,0.5,0.5,0,0,0,0.3,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"",0,"MISSINGDATA",0,0,0,0,"Yes ","Yes","No","Yes","No",0.5,"No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","No",2,"No","No","Yes","No","No",0,0,"ZERO",0,0,"",0,"",0,0,"D38a_C01_energy_total:44684781, D72d_C01_energy_renewable:",0,4,"",3,"",50.06,1,"",198.47,4,"",4,"",814.96,0,"",-23.64,3,"",3,"",7.86,0,"",0,7.5,18.5,126,77,"Fail",""
"University of Winchester",1,2,"Yes","Yes","Yes","Yes","No","Yes","Yes","No",0,0,0,0,1,6,1,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,1,1,0,2,2,0,1,0,0,"Has achieved Fairtrade status",1,"",0,0,0.5,0.5,"Yes ","Yes","Yes","Yes","Yes",1,"Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No",3,"Yes","No","Yes","No","Yes",1,3," (Nb: value not an option listed in question defniition)",92,3,"",0,"",0,0,"",0,5,"",3,"",52.19,2,"",87.38,4,"",4,"",721.85,0,"",-18.26,1,"",1,"",16.91,0,"",0,26,39,24,28,"1st",""
