university_name,gl11_rank/quantity,gl11_last_year_rank/quantity,gl11_class/singleChoice,gl11_total_score/quantity,gl11_policy_total_score/quantity,gl11_performance_total_score/quantity,gl11_q1_a/singleChoice,gl11_q1_b/singleChoice,gl11_q1_c/singleChoice,q1_subtotal,q2_subtotal,gl11_q3_a_total/quantity,gl11_q3_b/singleChoice,q3_subtotal,gl11_q4_a/singleChoice,gl11_q4_bc/singleChoice,gl11_q4_d/singleChoice,q4_subtotal,gl11_q5_a/singleChoice,gl11_q5_b/singleChoice,gl11_q5_c/singleChoice,gl11_q5_d/singleChoice,gl11_q5_e/singleChoice,gl11_q5_f/singleChoice,q5_subtotal,gl11_q6_a_fairtrade/singleChoice,gl11_q6_b/singleChoice,gl11_q6_c/singleChoice,q6_subtotal,gl11_q7_a/singleChoice,gl11_q7_b/singleChoice,gl11_q7_c_i/singleChoice,q7_subtotal,q8_subtotal,q9_subtotal,gl11_q10_1_energy_renewable_pc/singleChoice,gl11_q10_2_energy_chp/singleChoice,gl11_q10_3_energy_lzc/singleChoice,q10_subtotal,gl11_q11_1_waste_recycled/singleChoice,gl11_q11_2_waste_kgph/singleChoice,q11_subtotal,gl11_q12_1_carbon_ph/singleChoice,gl11_q12_2_carbon_reduction/singleChoice,q12_subtotal,gl11_q13_1_water_ph/singleChoice,gl11_q13_2_water_grey/singleChoice,q13_subtotal
Nottingham Trent University,1,5,1st,54,34,20,1,2,2,5,8,3,3.5,6.5,1,1,0,2,2,2,0,1,0,0,5,1,0,0,1,0.5,0.5,0.5,1.5,3,2,3,1,0,4,4,4,8,4,0,4,4,0,4
University of Gloucestershire,2,2,1st,53,35,18,1,2,2,5,8,3,4,7,1,1,1,3,2,2,0,0,0,0,4,1,0,0,1,0.5,0.5,1,2,3,2,3,0,1,4,1,3,4,6,1,7,3,0,3
University of Worcester,3,17,1st,50,36,14,1,2,2,5,8,3.5,4,7.5,1,1,0,2,2,2,0,1,0,0,5,1,0.5,0,1.5,0.5,0.5,1,2,3,2,0,0,0,0,4,0,4,5,0,5,3,2,5
University of Plymouth,4,1,1st,49.5,28.5,21,1,2,0,3,6,2.5,4,6.5,1,0,0,1,2,2,0,1,0,0,5,1,0.5,0,1.5,0.5,0.5,0.5,1.5,2,2,0,0,0,0,3,4,7,6,3,9,4,1,5
Bournemouth University,5,20,1st,47,31,16,1,2,2,5,6,3,4,7,1,0,0,1,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,2,0,0,1,1,2,4,6,6,0,6,3,0,3
University of Greenwich,5,61,1st,47,28,19,1,2,2,5,8,2,2,4,1,0,0,1,2,2,0,0,0,0,4,1,0,0,1,0.5,0.5,1,2,3,0,0,0,0,0,3,4,7,5,3,8,4,0,4
Bath Spa University,7,11,1st,46,28,18,1,2,2,5,8,3.5,4,7.5,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0.5,0,0,0.5,3,0,0,0,0,0,3,4,7,6,1,7,3,1,4
University of East Anglia,8,43,1st,45.5,32.5,13,1,2,2,5,8,4,3,7,1,1,1,3,2,2,0,0,0,0,4,1,0,0,1,0,0.5,0,0.5,3,1,0,1,1,2,2,3,5,2,4,6,0,0,0
University of Hertfordshire,8,3,1st,45.5,30.5,15,1,2,2,5,6,2.5,3,5.5,1,1,0,2,2,1,0,1,0.5,0.5,5,1,0,0,1,0.5,0.5,1,2,3,1,3,0,0,3,3,3,6,2,0,2,3,1,4
Leeds Metropolitan University,8,12,1st,45.5,25.5,20,1,2,2,5,6,3,4,7,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,0.5,0,0,0.5,2,1,3,1,0,4,3,1,4,4,2,6,4,2,6
University of Central Lancashire,8,4,1st,45.5,30.5,15,1,2,2,5,6,3.5,4,7.5,0,0,0,0,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,2,2,1,1,4,2,2,4,4,0,4,3,0,3
Aston University,12,5,1st,45,30,15,1,2,2,5,8,3,3,6,1,1,0,2,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,3,1,2,0,0,2,4,4,8,1,0,1,4,0,4
Edinburgh Napier University,13,29,1st,44.5,24.5,20,1,2,2,5,4,3.5,0,3.5,1,1,0,2,2,2,0,1,0.5,0.5,6,1,0,0,1,0.5,0.5,0,1,2,0,1,0,1,2,2,4,6,5,3,8,4,0,4
University of Bradford,14,7,1st,43.5,30.5,13,1,2,2,5,6,4,1.5,5.5,1,1,0,2,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,2,1,0,0,1,4,1,5,3,1,4,3,0,3
De Montfort University,14,34,1st,43.5,23.5,20,1,2,0,3,6,4,0,4,0,1,0,1,2,1,1,1,0.5,0.5,6,1,0,0,1,0,0,0.5,0.5,2,0,0,0,1,1,3,4,7,5,2,7,4,1,5
University of Huddersfield,14,9,1st,43.5,24.5,19,1,2,2,5,6,3,0,3,1,1,1,3,2,0,0,0,0,0,2,1,0,0,1,0.5,0.5,0.5,1.5,3,0,0,0,1,1,4,3,7,6,0,6,4,1,5
Manchester Metropolitan University,17,27,1st,42.5,27.5,15,1,2,2,5,8,3,0,3,0,0,0,0,2,2,0,1,0,0,5,1,0.5,0,1.5,0.5,0.5,0,1,3,1,0,0,1,1,4,0,4,5,2,7,3,0,3
Kingston University,18,15,1st,42,27,15,1,2,2,5,6,4,3.5,7.5,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0.5,0,1,1.5,3,1,3,0,0,3,2,3,5,4,0,4,2,1,3
University of Ulster,19,104,1st,41.5,22.5,19,1,2,2,5,6,3.5,0,3.5,1,0,0,1,2,0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,1,1,1,2,4,2,4,6,3,2,5,3,1,4
"University Of Wales Institute, Cardiff",20,70,1st,41,23,18,1,2,0,3,6,3,0,3,1,1,0,2,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,3,1,0,0,1,1,1,4,5,5,2,7,3,2,5
University of Brighton,21,31,1st,40.5,25.5,15,1,2,0,3,4,3.5,0,3.5,1,1,1,3,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,2,3,1,1,5,0,0,0,5,0,5,4,1,5
Anglia Ruskin University,22,10,1st,40,26,14,1,2,0,3,6,4,4,8,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,1,1,2,1,1,0,0,1,2,1,3,6,0,6,4,0,4
University of Derby,22,48,1st,40,24,16,1,2,2,5,4,3.5,2,5.5,0,0,0,0,2,0,1,1,0,0.5,4.5,1,0,0,1,0,0,0,0,2,2,0,0,0,0,4,1,5,6,1,7,4,0,4
University of Exeter,22,22,1st,40,30,10,1,2,2,5,6,3.5,3,6.5,1,1,0,2,2,0,0,1,0.5,0.5,4,1,0,0,1,0.5,0,0,0.5,3,2,0,0,0,0,1,3,4,2,2,4,1,1,2
London School of Economics And Political Science,22,15,1st,40,32,8,1,2,2,5,8,3,3,6,1,1,1,3,2,2,0,0,0,0,4,1,0,0,1,0.5,0.5,1,2,3,0,3,0,0,3,2,0,2,2,0,2,1,0,1
University of Winchester,22,28,1st,40,26,14,1,2,0,3,6,3,0,3,1,1,0,2,2,2,0,1,0,0,5,1,0,0,1,0.5,0.5,1,2,3,1,3,0,0,3,3,3,6,4,0,4,1,0,1
Sheffield Hallam University,27,34,1st,39.5,20.5,19,1,2,0,3,6,3,0,3,1,0,0,1,2,0,0,0,0,0,2,1,0,0,1,0.5,0.5,0.5,1.5,3,0,2,0,0,2,0,4,4,6,2,8,4,1,5
Bangor University,28,17,1st,38,26,12,1,2,0,3,4,4,3,7,0,0,1,1,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,1,1,1,1,3,1,2,3,3,1,4,1,1,2
London South Bank University,28,20,1st,38,26,12,1,2,2,5,4,4,4,8,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,0,0.5,0.5,1,2,2,0,0,0,0,1,3,4,5,0,5,3,0,3
Oxford Brookes University,30,7,1st,37.5,24.5,13,1,2,0,3,6,3.5,2,5.5,1,1,0,2,2,2,0,0,0,0,4,1,0,0,1,0,0.5,0.5,1,2,0,1,1,0,2,3,3,6,3,0,3,2,0,2
University of Aberdeen,31,34,1st,37,25,12,1,2,0,3,6,2.5,0,2.5,1,1,1,3,2,2,0,1,0.5,0,5.5,1,0.5,0,1.5,0,0,0.5,0.5,3,0,0,1,2,3,2,3,5,2,1,3,1,0,1
University of Bath,31,77,1st,37,26,11,1,2,2,5,6,3.5,0,3.5,0,1,0,1,2,2,0,1,0.5,0.5,6,1,0,0,1,0,0,0.5,0.5,3,0,3,1,1,5,3,0,3,1,2,3,0,0,0
Canterbury Christ Church University,31,56,1st,37,26,11,1,0,0,1,6,3.5,2,5.5,1,1,0,2,2,2,0,1,0,0,5,1,0.5,0,1.5,0.5,0,0.5,1,3,1,0,0,0,0,1,3,4,4,0,4,3,0,3
Liverpool John Moores University,31,34,1st,37,19,18,1,2,0,3,4,3,0,3,1,1,0,2,2,2,0,1,0,0,5,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,4,5,6,2,8,4,0,4
University of Portsmouth,31,53,1st,37,25,12,1,2,0,3,6,4,0,4,1,1,1,3,2,2,0,0,0,0,4,1,0,0,1,0.5,0,0.5,1,3,0,0,0,0,0,4,2,6,4,0,4,2,0,2
University of St Andrews,31,32,1st,37,29,8,1,2,0,3,8,2,0,2,1,1,1,3,2,2,1,1,0,0,6,1,0.5,0,1.5,0,0.5,0,0.5,3,2,2,0,0,2,4,1,5,0,0,0,0,1,1
Staffordshire University,37,104,2:1,36.5,24.5,12,1,2,2,5,6,3.5,0,3.5,0,0,0,0,2,2,0,1,0,0,5,1,0,0,1,0.5,0,0.5,1,2,1,1,0,0,1,3,2,5,3,1,4,2,0,2
"University of The West of England, Bristol",37,17,2:1,36.5,20.5,16,1,0,0,1,8,1.5,1,2.5,0,0,0,0,2,0,0,0,0,0,2,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,1,1,0,1,2,2,3,5,6,0,6,2,1,3
University of The West of Scotland,39,72,2:1,36,21,15,1,2,2,5,4,3.5,0,3.5,0,0,0,0,2,2,0,1,0,0,5,0,0,0,0,0,0,0.5,0.5,2,1,3,0,0,3,3,2,5,4,0,4,3,0,3
University of Salford,40,122,2:1,35.5,21.5,14,1,2,0,3,6,2,2,4,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0.5,0.5,0.5,1.5,2,1,0,0,0,0,1,2,3,4,3,7,4,0,4
University of Chichester,41,82,2:1,35,27,8,1,2,0,3,8,3,1,4,1,1,0,2,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,2,1,0,0,0,0,2,0,2,4,0,4,2,0,2
City University London,41,41,2:1,35,20,15,1,2,0,3,4,2,2,4,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0.5,0.5,1,2,2,0,0,0,0,0,2,1,3,5,4,9,3,0,3
Coventry University,41,53,2:1,35,21,14,1,2,0,3,6,4,0,4,0,0,0,0,2,2,0,0,0,0,4,0,0.5,0,0.5,0,0,0.5,0.5,3,0,0,1,1,2,4,0,4,4,0,4,4,0,4
Durham University,41,43,2:1,35,31,4,1,2,2,5,8,2.5,3,5.5,1,1,0,2,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,1,2,3,0,0,0,0,0,4,0,4,0,0,0,0,0,0
University of East London,41,63,2:1,35,18,17,1,2,2,5,4,2,1,3,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,1,1,4,0,4,6,3,9,3,0,3
Edge Hill University,46,98,2:1,34.5,18.5,16,1,2,2,5,6,3.5,0,3.5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,2,3,0,4,4,6,0,6,3,0,3
Birmingham City University,47,29,2:1,34,22,12,1,2,0,3,4,3.5,3,6.5,0,0,0,0,2,2,0,0,0,0,4,0,0.5,0,0.5,0,0,0,0,3,1,0,0,0,0,4,0,4,4,1,5,3,0,3
University of Edinburgh,47,13,2:1,34,26,8,1,2,2,5,8,3,0,3,1,1,0,2,2,0,0,0,0,0,2,1,0.5,0,1.5,0,0,0.5,0.5,3,1,2,1,1,4,2,1,3,1,0,1,0,0,0
University of Lincoln,47,75,2:1,34,16,18,1,2,2,5,4,2,0,2,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,3,0,1,4,1,3,4,4,2,6,4,0,4
University of Sunderland,47,77,2:1,34,21,13,1,2,0,3,6,2,0,2,0,1,0,1,2,2,0,0,0,0,4,1,0,0,1,0,0.5,0.5,1,3,0,0,0,0,0,4,1,5,3,2,5,3,0,3
Brunel University,51,107,2:1,33.5,23.5,10,1,2,2,5,4,3.5,1,4.5,0,0,0,0,2,2,0,0,0,0,4,1,0.5,0,1.5,0.5,0.5,0.5,1.5,3,0,3,0,0,3,1,2,3,2,2,4,0,0,0
University of Glamorgan,51,13,2:1,33.5,18.5,15,1,2,0,3,4,2.5,4,6.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,4,0,4,6,0,6,4,1,5
King's College London,51,113,2:1,33.5,21.5,12,1,2,0,3,6,1,3,4,0,0,0,0,2,2,0,1,0.5,0,5.5,1,0,0,1,0,0,0,0,2,0,0,1,1,2,3,4,7,0,2,2,1,0,1
University of Bedfordshire,54,124,2:1,33,23,10,1,2,2,5,4,4,0,4,1,1,0,2,2,1,0,0,0.5,0,3.5,0,0,0,0,0.5,0.5,0.5,1.5,2,1,0,0,0,0,2,1,3,5,0,5,2,0,2
Institute of Education,54,116,2:1,33,25,8,1,2,2,5,8,2,0,2,0,1,0,1,2,2,0,1,0.5,0.5,6,0,0,0,0,0.5,0.5,1,2,1,0,0,1,0,1,0,2,2,2,0,2,3,0,3
Queens University of Belfast,54,65,2:1,33,22,11,1,2,2,5,6,2,2,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,1,0,1,0,1,2,4,6,2,0,2,2,0,2
Loughborough University,57,34,2:1,32.5,24.5,8,1,2,2,5,4,2.5,2,4.5,1,1,0,2,2,2,0,0,0,0,4,1,0.5,0,1.5,0,0,0.5,0.5,3,0,0,1,0,1,1,2,3,2,2,4,0,0,0
Queen Margaret University,57,125,2:1,32.5,14.5,18,1,2,0,3,4,1.5,0,1.5,0,0,0,0,0,0,0,0,0.5,0,0.5,1,0,0,1,0,0,0.5,0.5,2,2,0,0,0,0,3,4,7,5,4,9,2,0,2
The Robert Gordon University,57,57,2:1,32.5,18.5,14,1,2,0,3,6,1.5,0,1.5,0,0,0,0,2,2,0,1,0.5,0,5.5,0,0,0,0,0,0,0.5,0.5,2,0,3,0,0,3,2,3,5,3,0,3,3,0,3
Royal College of Art,60,43,2:1,32,23,9,1,2,0,3,8,2.5,0,2.5,1,1,0,2,2,2,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,2,1,3,0,0,3,4,0,4,0,1,1,1,0,1
"Royal College of Music, London",60,22,2:1,32,26,6,1,2,2,5,8,2.5,0,2.5,1,1,0,2,2,2,0,0,0,0,4,0,0.5,0,0.5,0.5,0.5,1,2,2,0,0,0,0,0,3,2,5,1,0,1,0,0,0
University of Southampton,60,63,2:1,32,20,12,1,2,0,3,6,3.5,2,5.5,0,0,0,0,0,2,0,0,0,0,2,1,0.5,0,1.5,0,0,0,0,2,0,0,1,0,1,4,0,4,2,4,6,0,1,1
Keele University,63,82,2:1,31.5,25.5,6,1,2,2,5,6,2.5,0,2.5,1,1,0,2,2,1,0,1,0,0,4,1,0,0,1,0.5,0,0.5,1,2,2,0,0,1,1,0,1,1,2,1,3,0,1,1
Newcastle University,63,104,2:1,31.5,23.5,8,1,2,0,3,6,2,3,5,0,0,0,0,2,2,0,1,0,0.5,5.5,1,0,0,1,0,0,0,0,3,0,0,1,1,2,3,1,4,0,0,0,1,1,2
University of Strathclyde,63,121,2:1,31.5,21.5,10,1,2,2,5,4,3.5,0,3.5,0,1,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,1,3,0,0,3,0,4,4,1,1,2,1,0,1
Teesside University,63,98,2:1,31.5,18.5,13,1,2,0,3,4,2.5,0,2.5,1,1,0,2,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,4,4,5,0,5,4,0,4
