university_name,gl11_rank/quantity,gl11_last_year_rank/quantity,gl11_class/singleChoice,gl11_total_score/quantity,gl11_policy_total_score/quantity,gl11_performance_total_score/quantity,gl11_q1_a/singleChoice,gl11_q1_b/singleChoice,gl11_q1_c/singleChoice,q1_subtotal,q2_subtotal,gl11_q3_a_total/quantity,gl11_q3_b/singleChoice,q3_subtotal,gl11_q4_a/singleChoice,gl11_q4_bc/singleChoice,gl11_q4_d/singleChoice,q4_subtotal,gl11_q5_a/singleChoice,gl11_q5_b/singleChoice,gl11_q5_c/singleChoice,gl11_q5_d/singleChoice,gl11_q5_e/singleChoice,gl11_q5_f/singleChoice,q5_subtotal,gl11_q6_a_fairtrade/singleChoice,gl11_q6_b/singleChoice,gl11_q6_c/singleChoice,q6_subtotal,gl11_q7_a/singleChoice,gl11_q7_b/singleChoice,gl11_q7_c_i/singleChoice,q7_subtotal,q8_subtotal,q9_subtotal,gl11_q10_1_energy_renewable_pc/singleChoice,gl11_q10_2_energy_chp/singleChoice,gl11_q10_3_energy_lzc/singleChoice,q10_subtotal,gl11_q11_1_waste_recycled/singleChoice,gl11_q11_2_waste_kgph/singleChoice,q11_subtotal,gl11_q12_1_carbon_ph/singleChoice,gl11_q12_2_carbon_reduction/singleChoice,q12_subtotal,gl11_q13_1_water_ph/singleChoice,gl11_q13_2_water_grey/singleChoice,q13_subtotal
Newman University College,67,111,2:2,31,19,12,1,2,0,3,6,0,2,2,0,0,1,1,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,1,6,1,7,4,0,4
University of Bristol,68,32,2:2,30.5,25.5,5,1,2,0,3,8,3.5,3.5,7,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0.5,0.5,0.5,1.5,3,0,0,1,0,1,2,2,4,0,0,0,0,0,0
University of Cambridge,68,89,2:2,30.5,24.5,6,1,2,0,3,8,3.5,3,6.5,0,1,0,1,2,0,0,1,0.5,0.5,4,0,0,0,0,0,0,0,0,2,0,0,1,1,2,1,0,1,0,0,0,2,1,3
Glasgow Caledonian University,68,25,2:2,30.5,17.5,13,1,2,0,3,0,4,3,7,0,1,0,1,2,2,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,1,1,0,0,0,0,0,4,4,5,0,5,4,0,4
"University of Wales, Trinity St. David",68,0,2:2,30.5,15.5,15,0,0,0,0,8,3,3.5,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,4,4,8,1,4,5,1,0,1
University of Birmingham,72,34,2:2,30,20,10,1,2,0,3,8,2,2,4,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,0,0,1,0,1,2,1,3,1,4,5,1,0,1
Cranfield University,72,43,2:2,30,26,4,1,2,0,3,8,3.5,4,7.5,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,3,0,2,0,0,2,1,1,2,0,0,0,0,0,0
"Goldsmiths, University of London",72,89,2:2,30,20,10,1,2,0,3,4,3,0,3,1,1,0,2,2,2,0,0,0,0,4,0,0,0,0,0,0,1,1,3,0,0,0,0,0,2,0,2,4,2,6,2,0,2
"Royal Holloway, University of London",72,57,2:2,30,24,6,1,2,0,3,6,3,0,3,0,1,1,2,2,2,0,1,0,0.5,5.5,1,0.5,0,1.5,0,0,0,0,3,0,0,0,0,0,0,2,2,2,0,2,2,0,2
Southampton Solent University,72,111,2:2,30,16,14,1,2,0,3,0,2.5,0,2.5,1,1,0,2,2,2,0,0,0,0,4,1,0,0,1,0,0,0.5,0.5,3,0,0,0,0,0,2,4,6,5,0,5,3,0,3
University of Essex,77,85,2:2,29.5,21.5,8,1,2,0,3,6,3.5,0,3.5,0,1,0,1,2,0,0,0,0,0,2,1,0,0,1,0.5,0.5,1,2,2,1,0,0,1,1,4,1,5,1,0,1,0,1,1
Imperial College London,77,101,2:2,29.5,21.5,8,1,2,2,5,6,1.5,0,1.5,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0.5,0,0.5,1,2,1,0,1,0,1,3,0,3,0,4,4,0,0,0
Lancaster University,77,65,2:2,29.5,24.5,5,1,2,0,3,8,4,0,4,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0.5,0.5,0.5,1.5,3,0,0,0,0,0,2,2,4,1,0,1,0,0,0
Guildhall School of Music and Drama,80,113,2:2,29,22,7,1,2,2,5,8,3.5,0,3.5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,3,0,0,0,0,0,1,0,1,2,3,5,1,0,1
University of Wolverhampton,80,126,2:2,29,16,13,1,2,0,3,4,1,0,1,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,3,0,0,1,0,1,0,2,2,4,3,7,3,0,3
University of Dundee,82,48,2:2,28.5,21.5,7,1,2,0,3,4,1.5,0,1.5,0,1,1,2,2,2,1,1,0,0,6,1,0,0,1,0,0,0,0,3,1,0,1,0,1,2,3,5,0,0,0,1,0,1
University of Leicester,82,77,2:2,28.5,25.5,3,1,2,0,3,8,3,0,3,0,0,0,0,2,2,0,0,0.5,0,4.5,1,0,0,1,0.5,0.5,1,2,3,1,0,0,1,1,0,1,1,0,0,0,1,0,1
University of Northampton,82,70,2:2,28.5,19.5,9,1,2,0,3,6,3.5,2,5.5,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,4,3,0,3,2,0,2
University of Nottingham,82,53,2:2,28.5,20.5,8,1,2,0,3,6,3.5,0,3.5,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,3,2,0,0,1,1,2,2,4,1,0,1,0,2,2
University of Reading,82,72,2:2,28.5,23.5,5,1,2,0,3,6,2,2,4,0,0,0,0,2,2,0,1,0,0,5,1,0,0,1,0.5,0.5,0.5,1.5,3,0,1,0,0,1,4,0,4,0,0,0,0,0,0
University College London,82,48,2:2,28.5,21.5,7,1,2,0,3,4,2.5,2,4.5,1,1,1,3,2,0,0,0,0,0,2,1,0,0,1,0,0,1,1,2,1,0,1,0,1,3,2,5,0,0,0,1,0,1
University of York,82,48,2:2,28.5,20.5,8,1,2,0,3,6,2,0,2,1,1,0,2,2,2,0,1,0.5,0,5.5,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,3,5,1,1,2,0,0,0
Arts University College at Bournemouth,89,0,2:2,28,11,17,1,2,0,3,6,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,0,3,0,1,4,0,3,3,6,0,6,4,0,4
Glasgow School of Art,89,0,2:2,28,18,10,1,2,0,3,6,3,0,3,0,0,0,0,2,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,1,3,0,1,4,3,1,4,1,0,1,1,0,1
University of Manchester,89,65,2:2,28,24,4,1,0,0,1,8,2.5,0,2.5,1,1,0,2,2,2,0,1,0,0,5,1,0,0,1,0.5,0.5,0.5,1.5,3,0,0,0,1,1,1,2,3,0,0,0,0,0,0
Roehampton University,89,41,2:2,28,19,9,1,2,0,3,6,0,2,2,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,1,1,2,0,0,0,0,0,4,1,5,3,0,3,1,0,1
University of Sussex,89,57,2:2,28,20,8,1,2,0,3,6,2,3,5,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0.5,0,0.5,1,2,0,2,1,0,3,4,0,4,1,0,1,0,0,0
University of Kent,94,89,2:2,27.5,16.5,11,1,2,0,3,6,0,0,0,1,0,0,1,2,0,0,1,0,0,3,1,0,0,1,0,0,0.5,0.5,2,0,0,1,0,1,3,3,6,3,0,3,1,0,1
"University of Wales, Newport",94,34,2:2,27.5,14.5,13,1,2,0,3,4,2.5,0,2.5,1,0,0,1,2,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,3,4,4,1,5,3,0,3
Swansea Metropolitan University,94,22,2:2,27.5,11.5,16,1,0,0,1,4,0.5,3,3.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,1,1,2,3,5,6,0,6,4,0,4
University of Chester,97,48,2:2,27,16,11,1,2,0,3,0,3,0,3,1,0,0,1,2,2,0,0,0,0,4,1,0,0,1,0.5,0,0.5,1,2,1,0,0,0,0,3,2,5,3,1,4,2,0,2
University College Falmouth,97,89,2:2,27,16,11,1,2,0,3,6,2,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0.5,0,0.5,0,0,0.5,0.5,2,0,0,0,0,0,4,1,5,3,0,3,2,1,3
"University of The Arts, London",97,72,2:2,27,11,16,1,2,0,3,0,1.5,0,1.5,0,1,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,2,1,0,0,0,0,4,3,7,5,0,5,4,0,4
University of Warwick,100,65,2:2,26.5,19.5,7,1,2,0,3,6,2,0,2,0,0,0,0,2,2,0,0,0,0,4,1,0.5,0,1.5,0,0,0,0,3,0,0,1,1,2,1,2,3,0,1,1,0,1,1
University of Glasgow,101,43,2:2,26,18,8,1,2,0,3,4,3.5,0,3.5,0,1,0,1,0,2,0,1,0.5,0,3.5,1,0,0,1,0,0,0,0,2,0,3,0,1,4,0,2,2,1,0,1,1,0,1
University of Leeds,101,25,2:2,26,18,8,1,0,0,1,6,3,0,3,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0.5,0.5,1,2,3,0,0,1,1,2,4,0,4,1,0,1,0,1,1
"Birkbeck, University of London",103,89,3rd,25.5,11.5,14,1,2,0,3,0,1.5,1,2.5,0,0,0,0,2,1,0,0,0,0,3,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,4,4,6,0,6,4,0,4
Buckinghamshire New University,103,113,3rd,25.5,9.5,16,1,2,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,0.5,0.5,0,1,2,0,0,2,0,1,1,5,4,9,4,0,4
University of Hull,103,98,3rd,25.5,17.5,8,1,2,0,3,4,0.5,2,2.5,1,1,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,2,3,3,0,3,2,0,2
University of Oxford,103,89,3rd,25.5,19.5,6,1,2,0,3,6,3,0,3,1,1,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,3,0,1,0,0,1,0,3,3,0,0,0,1,1,2
Heriot-Watt University,107,89,3rd,25,18,7,1,2,0,3,4,2.5,0,2.5,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,0.5,0.5,2,1,3,0,0,3,3,1,4,0,0,0,0,0,0
Northumbria University,107,75,3rd,25,11,14,1,2,0,3,0,2,0,2,0,0,0,0,2,1,0,0,0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,1,1,4,1,5,4,0,4,3,1,4
School of Oriental And African Studies,107,107,3rd,25,12,13,1,0,0,1,4,0.5,0,0.5,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0.5,0.5,2,0,0,1,0,1,3,2,5,3,0,3,4,0,4
Aberystwyth University,110,87,3rd,24,16,8,1,2,0,3,4,2.5,0,2.5,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,0,0,0.5,0.5,2,1,0,0,0,0,3,3,6,2,0,2,0,0,0
London Metropolitan University,110,89,3rd,24,10,14,1,2,0,3,0,2,0,2,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,6,5,0,5,3,0,3
"Middlesex University, London",110,129,3rd,24,12,12,1,0,0,1,6,1,0,1,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,8,4,0,4
University of Cumbria,113,131,3rd,23.5,12.5,11,1,2,0,3,4,2.5,0,2.5,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,2,3,0,3,3,1,4
University of Sheffield,113,86,3rd,23.5,16.5,7,1,2,0,3,6,1.5,0,1.5,0,0,0,0,2,0,0,0,0,0,2,1,0,0.5,1.5,0,0,0.5,0.5,2,0,0,0,0,0,4,0,4,2,0,2,1,0,1
University of Stirling,113,101,3rd,23.5,16.5,7,1,2,0,3,4,2.5,0,2.5,0,0,0,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,2,0,0,2,1,3,4,1,0,1,0,0,0
University of Surrey,113,65,3rd,23.5,11.5,12,1,0,0,1,4,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0.5,0,0,0.5,2,0,3,1,2,6,2,2,4,1,0,1,0,1,1
Leeds Trinity University College,117,109,3rd,22.5,7.5,15,1,2,0,3,0,1.5,0,1.5,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,4,7,5,0,5,2,0,2
University College Plymouth Marjon,118,133,3rd,22,10,12,1,0,0,1,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,8,2,0,2
University of Liverpool,119,61,3rd,21,17,4,1,2,0,3,4,2,0,2,0,1,0,1,2,2,0,0,0,0,4,1,0,0,1,0,0,0,0,2,0,0,1,0,1,1,1,2,0,0,0,1,0,1
Liverpool Hope University,120,109,3rd,20.5,11.5,9,1,0,0,1,4,1,0,1,0,0,0,0,2,2,0,0,0,0,4,1,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,3,0,3,4,0,4,2,0,2
"St George's, University of London",120,89,3rd,20.5,15.5,5,1,2,0,3,8,2.5,0,2.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,3,0,0,0,0,0,0
London School of Hygiene & Tropical Medicine,122,122,Fail,20,15,5,1,0,0,1,6,0,0,0,0,0,1,1,2,2,0,0,0,0,4,1,0.5,0,1.5,0,0,0.5,0.5,1,0,0,0,0,0,1,3,4,0,0,0,1,0,1
Swansea University,122,116,Fail,20,12,8,1,2,0,3,0,3.5,3,6.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.5,0,0,0.5,1,0,0,1,0,1,1,3,4,2,0,2,1,0,1
Thames Valley University,122,119,Fail,20,9,11,1,2,2,5,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,1,1,0,0,0,0,0,0,2,2,5,0,5,4,0,4
University of Bolton,125,127,Fail,19,2,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,4,6,4,10,3,0,3
The Open University,126,82,Fail,18,11,7,1,0,0,1,8,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,2,1,3
Royal Academy of Music,126,129,Fail,18,9,9,1,0,0,1,0,2.5,0,2.5,0,0,0,0,2,2,0,1,0.5,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,2,0,2,2,0,2
University of Westminster,128,77,Fail,17.5,7.5,10,1,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0.5,0.5,2,0,0,0,0,0,3,1,4,4,0,4,2,0,2
Royal Veterinary College,129,57,Fail,17,13,4,1,2,0,3,0,2.5,1,3.5,0,0,0,0,2,0,0,1,0,0,3,1,0,0,1,0.5,0.5,0.5,1.5,1,0,0,0,0,0,2,0,2,0,0,0,0,2,2
University of Abertay Dundee,130,119,Fail,16.5,8.5,8,0,2,0,2,0,1.5,0,1.5,0,0,0,0,0,2,0,1,0,0,3,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,3,0,3,4,0,4
Cardiff University,130,77,Fail,16.5,7.5,9,1,2,0,3,0,1.5,0,1.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,3,2,5,2,0,2,2,0,2
York St John University,130,101,Fail,16.5,9.5,7,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0.5,0.5,0,0,0,0,0,0,0,2,2,3,0,3,2,0,2
The School of Pharmacy,133,127,Fail,16,12,4,1,2,0,3,6,0.5,0,0.5,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,1,1,1,0,1,2,0,2
Glyndwr University,134,132,Fail,15.5,11.5,4,1,2,0,3,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,1.5,0.5,0.5,0,1,0,1,0,0,0,0,0,4,4,0,0,0,0,0,0
"Queen Mary, University of London",135,87,Fail,15,8,7,1,2,0,3,0,2,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,4,2,0,2,1,0,1
London Business School,136,116,Fail,13.5,7.5,6,1,2,0,3,0,3.5,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,2,3,2,0,2
Bishop Grosseteste University College Lincoln,137,0,Fail,11,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,5,3,0,3
Ravensbourne,138,0,Fail,8.5,1.5,7,1,0,0,1,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,0,3
The Central School of Speech And Drama,0,0,Did not sit exam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,5,0,5,2,0,2
Courtauld Institute of Art,0,0,Did not sit exam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2
"St Mary's University College, Twickenham",0,0,Did not sit exam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,3,3,0,3
University College Birmingham,0,0,Did not sit exam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,4,2,0,2