People & Planet Green League 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,,,,,Last Year,,Score subtotals,,,Policy scores,,,,,,,,Performance scores,,,,,Performance data and score breakdown,,,,,,,,,,,,,,,,,,
Rank,University,Score,Award Class,,Rank 2009,,Policy,Performance,,1. Publicly Available Environmental Policy,2. Environmental Management Staff,3. Environmental Auditing & Management Systems,4. Ethical Investment Policy,5. Carbon Management,6. Sustainable Procurement and Fairtrade,7. Staff and student engagement,,8. Energy sources,9. Waste,10. Carbon emissions,11. Water Consumption,,8.1 Percentage total energy from renewable energy sources subject to LECs,,8.2 Institution has an onsite Combined Heat and Power Plant (CHP),,8.3 Percentage of total energy generated on-site from Low and Zero-Carbon (LZC) technologies,,9.1 Percentage of waste an institution recycles,,9.2 Waste mass per head,,10.1 Institution’s carbon emissions per head,,10.2 Institutional carbon emissions reductions compared to sector-wide carbon reduction targets from 2005 baseline.,,11.1 Water consumption per head,,11.2 Percentage total water from grey or rain water,,
,,,,,,,,,,,,,,,,,,,,,,,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,Data,Score,
1,University of Plymouth,51,1st,,6,,29,22,,4,4,7.5,2,5.5,3,3,,1,7,6,8,,1,1,0,0,0,0,47.71,3,20.9,4,472.09,4,8.15,2,3.36,4,18.4988,4,
2,University of Gloucestershire,48,1st,,5,,33,15,,6,8,8,1,4,3,3,,4,3,4,4,,100,3,0,0,0.32,1,21.54,0,70.31,3,591.23,4,-162.58,0,3.92,4,0,0,
3,University of Hertfordshire,45.5,1st,,14,,31.5,14,,6,6,7,3,4.5,2,3,,3,7,2,2,,100,3,0,0,0,0,60.84,4,72.74,3,1277.68,2,-125.27,0,12.74,2,0,0,
4,University of Central Lancashire,45,1st,,4,,29,16,,4,6,8,1,4,3,3,,3,6,3,4,,65,2,0,0,0.14,1,45.33,3,68.09,3,687.53,3,-8.19,0,5,4,0,0,
5,Aston University,44.5,1st,,28,,33.5,11,,6,8,5,4,6,1.5,3,,5,4,1,1,,74,3,0,0,1.22,2,19.86,0,42.96,4,1833.1,1,-21.64,0,17.51,1,0,0,
5,Nottingham Trent University,44.5,1st,,1,,29.5,15,,6,6,7,3,2,2.5,3,,3,6,3,3,,40.19,2,1,1,0,0,74.14,4,87.92,2,681.8,3,-25.99,0,5.57,3,0,0,
7,University of Bradford,43.5,1st,,10,,27.5,16,,6,4,6.5,1,4,3,3,,3,8,2,3,,50,2,0,0,0.01,1,63.17,4,57.17,4,1153.97,2,-112.7,0,6.43,3,Invalid,0,
7,Oxford Brookes University,43.5,1st,,3,,33.5,10,,4,8,8,3,5,2.5,3,,2,4,2,2,,38,2,0,0,0,0,28.49,1,77.26,3,949.16,2,-147.29,0,10.96,2,0,0,
9,University of Huddersfield,43,1st,,18,,27,16,,6,6,4,2,3,3,3,,0,5,4,7,,0,0,0,0,0,0,51.86,3,93.59,2,568.02,4,-273.57,0,2.96,4,1.126,3,
10,Anglia Ruskin University,42.5,1st,,10,,28.5,14,,6,6,8,0,3,2.5,3,,3,4,4,3,,100,3,0,0,0,0,43.32,3,212.09,1,550.43,4,-12.55,0,5.7,3,0,0,
11,Bath Spa University,42,1st,,62,,28,14,,6,6,7.5,0,4,1.5,3,,0,7,4,3,,0,0,0,0,0,0,51.95,3,31.76,4,557.64,4,-18.5,0,7.43,3,0,0,
12,Leeds Metropolitan University,41.5,1st,,6,,27.5,14,,4,6,6.5,3,4.5,1.5,2,,3,4,3,4,,90.03,3,0,0,0,0,76.16,4,394.26,0,753.55,3,-6.26,0,5.21,4,0,0,
13,University of Edinburgh,40.5,1st,,18,,29.5,11,,6,8,3,3,4.5,2,3,,4,7,0,0,,40,2,1,1,0.01,1,56.93,4,78.35,3,2127.88,0,-25.09,0,24.94,0,Invalid,0,
13,University of Glamorgan,40.5,1st,,12,,26.5,14,,6,6,7,1,2,1.5,3,,0,6,3,5,,0,0,0,0,0,0,36.21,2,49.66,4,692.35,3,-32.99,0,4.88,4,0.0292,1,
15,Kingston University,39.5,1st,,46,,27.5,12,,6,8,6,1,1.5,2,3,,2,3,3,4,,32,2,0,0,0,0,31.62,1,90.04,2,691.16,3,-27.59,0,10.54,2,0.1087,2,
15,London School of Economics And Political Science,39.5,1st,,2,,31.5,8,,6,8,5.5,3,3,3,3,,3,3,1,1,,100,3,0,0,0,0,38.85,2,209.82,1,1360.37,1,-139.85,0,16.72,1,0,0,
17,Bangor University,39,1st,,28,,29,10,,4,6,7,2,4,3,3,,3,3,1,3,,21.16,1,1,1,0.05,1,29.06,1,111.73,2,1406.6,1,-8.89,0,16.78,1,0.1765,2,
17,University of Worcester,39,1st,,16,,29,10,,6,8,8,0,1,3,3,,0,4,3,3,,0,0,0,0,0,0,86.23,4,5203.03,0,662.14,3,-1.83,0,5.52,3,0,0,
17,"University of The West of England, Bristol",39,1st,,9,,25,14,,4,6,5,1,3,3,3,,3,4,4,3,,35,2,0,0,0.01,1,35.45,2,106.28,2,631.78,4,-22.72,0,9.12,2,0.0218,1,
20,Bournemouth University,38.5,1st,,31,,25.5,13,,4,6,7,2,3,1.5,2,,0,7,3,3,,0,0,0,0,0,0,44.01,3,57.06,4,648.77,3,-36.51,0,5.94,3,0,0,
20,London South Bank University,38.5,1st,,38,,22.5,16,,6,4,4,2,2,1.5,3,,0,8,5,3,,0,0,0,0,0,0,55.28,4,26.16,4,545.75,4,1.21,1,7.38,3,0,0,
22,University of Exeter,37.5,1st,,14,,31.5,6,,6,8,4.5,4,4.5,1.5,3,,0,3,1,2,,0,0,0,0,0,0,36.02,2,242.93,1,1449.09,1,-5.46,0,19.23,1,0.0675,1,
22,"Royal College of Music, London",37.5,1st,,126,,26.5,11,,6,8,4,3,3,1.5,1,,3,6,1,1,,7,1,0,0,5.28,2,45.59,3,84.52,3,1361.5,1,-35.11,0,15.46,1,0,0,
22,Swansea Metropolitan University,37.5,1st,,21,,25.5,12,,6,6,7,2,0,1.5,3,,0,4,4,4,,0.05,0,0,0,0,0,36.49,2,98.77,2,579.46,4,-12.42,0,3.39,4,0,0,
25,Glasgow Caledonian University,37,1st,,104,,25,12,,4,6,5,1,5,1,3,,0,4,4,4,,0,0,0,0,0,0,3.95,0,41,4,577.27,4,-22.58,0,2.36,4,0,0,
25,University of Leeds,37,1st,,44,,25,12,,4,6,3.5,1,4.5,3,3,,2,8,1,1,,0,0,1,1,0.15,1,67.82,4,51.39,4,1684.62,1,-35.86,0,20.74,0,0.0705,1,
27,Manchester Metropolitan University,36.5,2:1,,57,,25.5,11,,6,6,4,0,4,2.5,3,,1,4,3,3,,0,0,0,0,0.01,1,77.01,4,310.14,0,719.26,3,-8.74,0,6.52,3,0,0,
28,University of Winchester,36,2:1,,66,,25,11,,4,8,3.5,0,4,2.5,3,,3,4,3,1,,92,3,0,0,0,0,42.8,2,91.08,2,794.5,3,-31.39,0,18.4,1,0,0,
29,Birmingham City University,35.5,2:1,,71,,25.5,10,,6,4,6.5,0,6,0,3,,0,4,3,3,,0,0,0,0,0,0,42.39,2,100.54,2,799.46,3,-6.68,0,7.32,3,0,0,
29,Edinburgh Napier University,35.5,2:1,,34,,20.5,15,,4,0,3,3,6,1.5,3,,1,5,5,4,,0,0,0,0,0.48,1,44.42,3,91.89,2,660.41,3,6.15,2,4.75,4,0,0,
31,University of Brighton,34,2:1,,37,,18,16,,4,4,2.5,3,0,2.5,2,,1,6,4,5,,0,0,0,0,0.18,1,41.77,2,21.99,4,614.24,4,-19.67,0,5.24,4,0.0361,1,
32,University of Bristol,33.5,2:1,,26,,29.5,4,,6,8,5,0,4.5,3,3,,1,3,0,0,,0,0,1,1,0,0,29.49,1,92.21,2,2226.32,0,-26.98,0,19.64,0,0,0,
32,University of St Andrews,33.5,2:1,,55,,24.5,9,,4,6,2.5,4,2,3,3,,2,4,0,3,,47,2,0,0,0,0,66.22,4,258.43,0,2451.5,0,-43.06,0,18.93,1,0.814,2,
34,University of Aberdeen,33,2:1,,49,,25,8,,4,6,2,4,4.5,1.5,3,,1,4,2,1,,0,0,1,1,0,0,43.35,3,118.49,1,1552.99,1,2.47,1,17.27,1,0,0,
34,University of Birmingham,33,2:1,,68,,24,9,,4,6,5,1,3.5,1.5,3,,1,6,1,1,,0,0,1,1,0,0,50.03,3,58.68,3,1926.44,0,3.71,1,19.18,1,0,0,
34,De Montfort University,33,2:1,,55,,18,15,,4,6,2.5,0,0,2.5,3,,1,6,4,4,,9.7,1,0,0,0,0,35.52,2,44.8,4,668.75,3,2.25,1,4.72,4,0,0,
34,Liverpool John Moores University,33,2:1,,28,,18,15,,2,4,2.5,2,4,1.5,2,,1,6,4,4,,15,1,0,0,0,0,32,2,27.12,4,626.28,4,-5.78,0,2.91,4,0,0,
34,Loughborough University,33,2:1,,26,,25,8,,4,6,4.5,2,3,2.5,3,,3,3,1,1,,50,2,1,1,0,0,25.83,1,117.5,2,1376.23,1,-88.57,0,18.7,1,0,0,
34,"University of Wales, Newport",33,2:1,,44,,20,13,,4,4,4,2,3,2,1,,3,4,3,3,,100,3,0,0,0,0,30.58,1,79.3,3,798.02,3,-26.7,0,8.4,3,0,0,
34,Sheffield Hallam University,33,2:1,,8,,19,14,,4,4,3.5,0,2,2.5,3,,1,4,4,5,,3.67,1,0,0,0,0,6.03,0,30.62,4,470.14,4,-10.99,0,2.56,4,0.0054,1,
41,City University London,32.5,2:1,,31,,19.5,13,,4,4,2,0,5,1.5,3,,0,4,5,4,,0,0,0,0,0,0,48,3,139.42,1,677.53,3,8.52,2,4.8,4,0,0,
41,Roehampton University,32.5,2:1,,80,,21.5,11,,2,8,1,1,4,2.5,3,,2,5,2,2,,44.44,2,0,0,0,0,76.83,4,139.74,1,916.53,2,-51.12,0,12.89,2,0,0,
43,Cranfield University,32,2:1,,57,,30,2,,6,8,7,0,5,1,3,,2,0,0,0,,65,2,0,0,0,0,20.23,0,682.9,0,3799.65,0,-26.14,0,32.33,0,0,0,
43,Durham University,32,2:1,,50,,27,5,,6,8,5,0,2,3,3,,0,5,0,0,,0,0,0,0,0,0,48.3,3,115.4,2,2104.91,0,-29.6,0,25.15,0,0,0,
43,University of East Anglia,32,2:1,,81,,30,2,,6,8,4,2,4,3,3,,1,0,1,0,,0,0,1,1,0,0,5.88,0,821.51,0,1704.56,1,-16.96,0,26.49,0,0,0,
43,University of Glasgow,32,2:1,,21,,29,3,,4,4,7,3,5,3,3,,0,2,0,1,,0,0,0,0,0,0,25.11,1,125.36,1,1876.98,0,-72.6,0,15.02,1,0,0,
43,Royal College of Art,32,2:1,,81,,25,7,,6,8,4,4,0,1,2,,3,3,0,1,,95,3,0,0,0,0,48.46,3,499.62,0,2102.53,0,-11.75,0,15.49,1,0,0,
48,University of Derby,31.5,2:1,,21,,18.5,13,,2,4,6,0,3,1.5,2,,0,5,4,4,,0,0,0,0,0,0,31.06,1,46.16,4,572.98,4,-12.37,0,2.89,4,0,0,
48,University of Dundee,31.5,2:1,,62,,23.5,8,,6,6,3,1,3,1.5,3,,1,4,2,1,,0,0,1,1,0,0,31.17,1,60.21,3,1616.26,1,0.38,1,13.79,1,0,0,
48,University College London,31.5,2:1,,98,,24.5,7,,6,6,2,3,4,1.5,2,,1,5,0,1,,0,0,1,1,0,0,46.58,3,114.63,2,1894.52,0,-35.08,0,14.15,1,0,0,
48,University of Chester,31.5,2:1,,105,,21.5,10,,4,4,3,2,2.5,3,3,,1,0,7,2,,21.45,1,0,0,0,0,Invalid,0,Invalid,0,716.45,3,17.62,4,12.83,2,0,0,
48,University of York,31.5,2:1,,35,,24.5,7,,4,8,2.5,2,2.5,2.5,3,,1,5,1,0,,0,0,1,1,Invalid,0,37.89,2,66.64,3,1750.02,1,-9.64,0,21.13,0,0,0,
53,Coventry University,31,2:2,,31,,19,12,,4,6,3,1,1,1,3,,2,4,3,3,,0,0,1,1,0.09,1,73.83,4,278.8,0,789.26,3,-16.03,0,5.49,3,0,0,
53,University of Nottingham,31,2:2,,38,,21,10,,2,6,3,0,4.5,2.5,3,,4,3,0,3,,100,3,0,0,0.02,1,30.44,1,112,2,1856.2,0,-27.46,0,20.15,0,2.5059,3,
53,University of Portsmouth,31,2:2,,46,,20,11,,4,6,3.5,1,1,1.5,3,,0,5,3,3,,0,0,0,0,0,0,35.77,2,63.13,3,782.27,3,-20.26,0,7.32,3,0,0,
56,Canterbury Christ Church University,30.5,2:2,,70,,18.5,12,,4,6,4,0,0,2.5,2,,0,6,4,2,,0,0,0,0,0,0,41,2,40.79,4,602.34,4,-26.62,0,10.63,2,0,0,
57,The Robert Gordon University,29.5,2:2,,66,,18.5,11,,4,4,2,0,5.5,0,3,,3,3,2,3,,97.8,3,0,0,0,0,21.48,0,59.46,3,1028.84,2,-48.36,0,6.35,3,0,0,
57,"Royal Holloway, University of London",29.5,2:2,,84,,26.5,3,,6,6,3,3,3,2.5,3,,0,2,1,0,,0,0,0,0,0,0,24.88,0,112.11,2,1557.24,1,-21.56,0,34.72,0,0,0,
57,Royal Veterinary College,29.5,2:2,,0,,25.5,4,,6,8,3.5,0,3,3,2,,0,4,0,0,,0,0,0,0,0,0,71.49,4,545.99,0,3464.13,0,-67.24,0,47.91,0,0,0,
57,University of Sussex,29.5,2:2,,50,,24.5,5,,6,6,7,1,1,1.5,2,,1,3,1,0,,0,0,1,1,0,0,40.86,2,117.85,1,1730.48,1,-167.81,0,21.53,0,0,0,
61,University of Greenwich,29,2:2,,103,,16,13,,4,6,1.5,2,0,1.5,1,,0,6,3,4,,0,0,0,0,0,0,42.63,2,51.62,4,779.04,3,Invalid,0,5.16,4,0,0,
61,University of Liverpool,29,2:2,,72,,23,6,,2,6,2,3,5.5,1.5,3,,1,4,0,1,,14.3,1,0,0,0,0,48.56,3,211.39,1,2609.51,0,-15.48,0,16.02,1,0,0,
63,University of Southampton,28.5,2:2,,50,,19.5,9,,4,6,4,0,1,1.5,3,,2,4,2,1,,0,0,1,1,0.01,1,72.14,4,604.59,0,2001.33,0,7.17,2,35.62,0,0.0268,1,
63,University of East London,28.5,2:2,,0,,10.5,18,,2,4,0.5,0,3,0,1,,1,8,6,3,,0,0,0,0,0.06,1,72.71,4,40.34,4,538.31,4,7.42,2,8.33,3,0,0,
