People & Planet Green League 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Lancaster University,28,2:2,,72,,26,2,,4,8,3.5,0,5,2.5,3,,0,1,1,0,,0,0,0,0,0,0,19.44,0,136.02,1,1643.42,1,-24.34,0,26.22,0,0,0,
65,University of Manchester,28,2:2,,87,,23,5,,4,6,2.5,2,4,1.5,3,,2,2,0,1,,1.02,1,0,0,0.01,1,23.19,0,109.21,2,2041.55,0,-13.3,0,18.56,1,0,0,
65,Queens University of Belfast,28,2:2,,18,,19,9,,4,4,7.5,0,0,1.5,2,,1,5,1,2,,0,0,1,1,0,0,34.96,2,63.61,3,1484.85,1,-39.6,0,12.21,2,0,0,
65,University of Surrey,28,2:2,,38,,22,6,,4,8,2.5,0,4,1.5,2,,1,4,1,0,,0,0,1,1,0,0,38.58,2,112.37,2,1815.98,1,-16.71,0,21.29,0,0,0,
65,University of Warwick,28,2:2,,38,,24,4,,6,6,3.5,0,3,2.5,3,,1,2,0,1,,0,0,1,1,0,0,25.85,1,137.54,1,2260.87,0,-12.49,0,27.64,0,0.0017,1,
70,University of Northampton,27.5,2:2,,57,,20.5,7,,4,6,4,0,3,1.5,2,,0,3,2,2,,0,0,0,0,0,0,31.41,1,91.41,2,860.25,2,-16.07,0,10.25,2,0,0,
70,"University Of Wales Institute, Cardiff",27.5,2:2,,94,,18.5,9,,4,6,3,1,1,1.5,2,,1,3,3,2,,0,0,0,0,0.01,1,23.53,0,73.77,3,783.16,3,-7.66,0,9.36,2,0,0,
72,University of Reading,27,2:2,,115,,21,6,,4,6,4,0,1,3,3,,2,4,0,0,,36,2,0,0,0,0,77.48,4,1486.27,0,1968.37,0,-14.1,0,36.51,0,0,0,
72,University of The Arts London,27,2:2,,125,,12,15,,4,0,1,3,1,0,3,,0,7,4,4,,0,0,0,0,0,0,77.11,4,71.45,3,642.11,4,Invalid,0,4.95,4,0,0,
72,University of The West of Scotland,27,2:2,,105,,19,8,,4,4,4,0,4,1,2,,0,3,2,3,,0,0,0,0,0,0,13.23,0,62.58,3,945.02,2,Invalid,0,7.75,3,0,0,
75,University of Lincoln,26.5,2:2,,107,,14.5,12,,2,6,3.5,0,1,0,2,,0,4,4,4,,0,0,0,0,0,0,25.28,1,80.54,3,842.16,2,5.33,2,3.75,4,0,0,
75,Northumbria University,26.5,2:2,,21,,11.5,15,,2,0,2,0,3,1.5,3,,3,2,3,7,,33,2,0,0,0.02,1,16.14,0,113.69,2,780.37,3,-169.79,0,4.42,4,1.1762,3,
77,University of Bath,26,2:2,,57,,23,3,,4,6,2,0,5.5,2.5,3,,2,0,1,0,,0.01,0,1,1,0.01,1,11.97,0,304.47,0,1715.02,1,-121.13,0,25.59,0,0,0,
77,Cardiff University,26,2:2,,17,,16,10,,4,4,2.5,1,0,2.5,2,,0,6,2,2,,0,0,0,0,0,0,41.82,2,28.86,4,1146.43,2,-1.56,0,12.21,2,0,0,
77,University of Leicester,26,2:2,,57,,23,3,,4,8,2.5,0,3,2.5,3,,1,1,0,1,,0.03,0,0,0,0.03,1,9.37,0,163.71,1,2294.4,0,-27.53,0,15.62,1,0,0,
77,University of Sunderland,26,2:2,,46,,17,9,,2,6,2.5,1,2,1.5,2,,0,4,2,3,,0,0,0,0,0,0,41.34,2,104.88,2,933.11,2,-6.98,0,7.26,3,0,0,
77,University of Westminster,26,2:2,,78,,18,8,,2,6,2.5,1,3.5,0,3,,3,1,2,2,,80,3,0,0,0,0,28.25,1,274.8,0,800.51,2,Invalid,0,10.5,2,0,0,
82,Keele University,25.5,3rd,,35,,21.5,4,,4,8,1,2,2,1.5,3,,3,0,1,0,,66,2,0,0,0.03,1,19.66,0,326.85,0,1459.78,1,-6.96,0,24.35,0,0,0,
82,The Open University,25.5,3rd,,107,,20.5,5,,4,6,3.5,0,4,1,2,,0,4,0,1,,0,0,0,0,0,0,51.69,3,130.08,1,3068.88,0,-272.37,0,14.71,1,0,0,
82,University of Chichester,25.5,3rd,,95,,18.5,7,,4,8,0.5,3,0,2,1,,0,3,2,2,,0,0,0,0,0,0,44.66,3,398.38,0,893.21,2,-54.6,0,11.29,2,0,0,
85,University of Essex,25,3rd,,120,,19,6,,4,6,3,0,0,3,3,,1,4,0,1,,0,0,0,0,0.07,1,48.52,3,141.75,1,1875.65,0,-151.05,0,22.42,0,0.0046,1,
86,University of Sheffield,24.5,3rd,,13,,19.5,5,,6,6,2,0,2,1.5,2,,0,3,1,1,,0,0,0,0,0,0,28.95,1,110.36,2,1675.09,1,-213.65,0,15.86,1,0,0,
87,Aberystwyth University,24,3rd,,76,,15,9,,4,4,2,0,1,3,1,,1,7,1,0,,6.9,1,0,0,0,0,57.31,4,80.63,3,1713.18,1,-32.3,0,25.7,0,0,0,
87,"Queen Mary, University of London",24,3rd,,38,,17,7,,4,0,2,1,5.5,1.5,3,,0,5,1,1,,0,0,0,0,0,0,57.14,4,151.09,1,1580.02,1,-24.27,0,14.08,1,0,0,
89,"Birkbeck College, University of London",23.5,3rd,,78,,11.5,12,,4,0,3.5,0,1,1,2,,0,4,4,4,,0,0,0,0,0,0,21.46,0,40.02,4,462.48,4,-28.87,0,2.03,4,0,0,
89,University of Cambridge,23.5,3rd,,50,,17.5,6,,4,4,3.5,0,3,0,3,,2,1,0,3,,0,0,1,1,0.03,1,24.35,0,204.41,1,2865.35,0,-24.17,0,10.96,2,0.0433,1,
89,University College Falmouth,23.5,3rd,,0,,12.5,11,,2,6,1.5,0,1,0,2,,0,6,2,3,,0,0,0,0,0,0,51.68,3,68.63,3,1214.18,2,-89.33,0,7.91,3,0,0,
89,"Goldsmiths, University of London",23.5,3rd,,98,,19.5,4,,4,4,2.5,1,4,1,3,,0,0,2,2,,0,0,0,0,0,0,0.72,0,3337.93,0,802.26,2,-4.96,0,9.22,2,0,0,
89,Heriot-Watt University,23.5,3rd,,50,,17.5,6,,4,4,2,0,4,1.5,2,,3,3,0,0,,88,3,0,0,0,0,42.16,2,165.25,1,2480.9,0,-21.87,0,35.13,0,0,0,
89,University of Kent,23.5,3rd,,21,,13.5,10,,2,4,1,1,0,2.5,3,,1,6,2,1,,0,0,1,1,0,0,44.97,3,75.29,3,1196.9,2,-19.13,0,14.6,1,0,0,
89,London Metropolitan University,23.5,3rd,,89,,14.5,9,,4,6,1.5,0,1,0,2,,0,5,2,2,,0,0,0,0,0,0,25.04,1,55.22,4,910.34,2,-65.6,0,10.26,2,0,0,
89,University of Oxford,23.5,3rd,,84,,18.5,5,,4,6,2.5,2,1,0,3,,1,1,0,3,,0,0,0,0,0.01,1,29.17,1,335.31,0,2794.66,0,-291.49,0,15.85,1,0.1171,2,
89,"St George's, University of London",23.5,3rd,,118,,18.5,5,,4,6,4,0,2.5,0,2,,0,4,1,0,,0.3,0,0,0,0,0,47.36,3,194.05,1,2168.09,0,2.92,1,27.12,0,0,0,
98,Edge Hill Universtity,23,3rd,,101,,14,9,,4,4,3,0,2,0,1,,0,3,4,2,,0,0,0,0,Invalid,0,20.14,0,57.62,3,547.53,4,-40.47,0,8.71,2,Invalid,0,
98,University of Hull,23,3rd,,81,,17,6,,4,4,1.5,1,4,1.5,1,,0,2,2,2,,0,0,0,0,0,0,21.29,0,103.11,2,1124.47,2,-12.99,0,9.96,2,0,0,
98,University of Teesside,23,3rd,,89,,12,11,,2,4,1.5,0,1,1.5,2,,0,4,3,4,,0,0,0,0,0,0,16.16,0,52.79,4,692.62,3,-32.6,0,4.84,4,0,0,
101,Imperial College London,22.5,3rd,,62,,17.5,5,,2,6,0.5,0,3,3,3,,1,4,0,0,,0,0,1,1,0,0,77.8,4,826.69,0,4449.6,0,-4.16,0,30.87,0,0,0,
101,University of Stirling,22.5,3rd,,97,,18.5,4,,4,6,2.5,0,4,0,2,,0,4,0,0,,0,0,0,0,0,0,25.72,1,84.75,3,1902.33,0,-17.04,0,31.7,0,0,0,
101,York St John University,22.5,3rd,,0,,15.5,7,,4,6,0,0,4,1.5,0,,3,2,0,2,,100,3,0,0,0,0,23.78,0,115.01,2,Invalid,0,Invalid,0,10.14,2,0,0,
104,Newcastle University,22,3rd,,72,,16,6,,2,6,2.5,0,2,1.5,2,,0,6,0,0,,0,0,0,0,0,0,45.42,3,62.02,3,2105.88,0,-17.01,0,19.85,0,0,0,
104,Staffordshire University,22,3rd,,91,,15,7,,4,6,0.5,0,1,1.5,2,,2,0,2,3,,35,2,0,0,0,0,7.33,0,318.91,0,1082.51,2,-17.45,0,7.95,3,0,0,
104,University of Ulster,22,3rd,,76,,10,12,,2,4,2,0,0,0,2,,4,1,2,5,,19,1,1,1,2.73,2,2.17,0,229.32,1,893.58,2,-0.17,0,6.33,3,0.232,2,
107,Brunel University,21,3rd,,84,,15,6,,4,6,0.5,0,1,1.5,2,,3,2,1,0,,100,3,0,0,0,0,29.32,1,124.4,1,1398.81,1,-7.34,0,19.63,0,0,0,
107,School of Oriental And African Studies,21,3rd,,91,,9,12,,2,6,0,0,0,0,1,,1,2,5,4,,0,0,1,1,0,0,5.93,0,97.81,2,537.21,4,0.27,1,3.77,4,0,0,
109,Leeds Trinity and All Saints,20.5,3rd,,122,,10.5,10,,4,0,0,0,3,2.5,1,,0,4,4,2,,0,0,0,0,0,0,15.43,0,55.28,4,641.26,4,-13.7,0,12,2,0,0,
109,Liverpool Hope University,20.5,3rd,,101,,11.5,9,,2,4,1,0,0,2.5,2,,0,4,2,3,,0,0,0,0,0,0,64.84,4,487.13,0,837.19,2,-18.16,0,8.7,3,0,0,
111,Newman University College,20,Fail,,0,,13,7,,2,6,1.5,0,2,1.5,0,,0,0,4,3,,0,0,0,0,0,0,1.6,0,291.02,0,596.28,4,-16.95,0,5.48,3,0,0,
111,Southampton Solent University,20,Fail,,87,,13,7,,4,0,1.5,0,4,2.5,1,,0,1,3,3,,0,0,0,0,0,0,5.63,0,121.29,1,657.06,3,-50.26,0,7.08,3,0,0,
113,Buckinghamshire New University,19.5,Fail,,0,,5.5,14,,2,0,2,0,0,1.5,0,,0,5,7,2,,0,0,0,0,Invalid,0,49.86,3,100.08,2,707.58,3,23.42,4,8.89,2,0,0,
113,Guildhall School of Music and Drama,19.5,Fail,,116,,14.5,5,,2,6,1.5,1,2,0,2,,0,3,2,0,,0,0,0,0,Invalid,0,50.51,3,600.96,0,1127.98,2,Invalid,0,Invalid,0,Invalid,0,
113,King's College London,19.5,Fail,,38,,10.5,9,,4,0,1,1,3,1.5,0,,0,8,0,1,,0,0,0,0,0,0,64.53,4,26.78,4,2711.54,0,-26.51,0,17.86,1,0,0,
116,Institute of Education,19,Fail,,72,,7,12,,4,0,0,2,0,0,1,,1,3,4,4,,0,0,1,1,0,0,34.95,2,158.37,1,527.77,4,Invalid,0,5.04,4,0,0,
116,London Business School,19,Fail,,107,,15,4,,4,6,1.5,0,0,1.5,2,,0,1,1,2,,0,0,0,0,0,0,29.07,1,517.29,0,1822.27,1,-6.79,0,12.59,2,Invalid,0,
116,Swansea University,19,Fail,,65,,10,9,,0,4,2.5,0,0,2.5,1,,1,5,2,1,,0,0,1,1,0,0,33.45,2,80.89,3,1262.2,2,-15.01,0,17.69,1,0,0,
119,University of Abertay Dundee,17,Fail,,113,,14,3,,0,6,1.5,0,5,1.5,0,,1,0,2,0,,10,1,0,0,0,0,Invalid,0,Invalid,0,847.04,2,Invalid,0,Invalid,0,Invalid,0,
119,Thames Valley University,17,Fail,,110,,6,11,,2,0,1,0,3,0,0,,1,2,4,4,,14,1,0,0,0,0,10.42,0,90.46,2,629.79,4,-37.33,0,5.25,4,0,0,
121,University of Strathclyde,15.5,Fail,,68,,10.5,5,,4,0,2.5,0,4,0,0,,0,4,1,0,,0,0,0,0,0,0,Invalid,0,23.35,4,1843.63,1,-18.46,0,20.67,0,0,0,
122,London School of Hygiene & Tropical Medicine,15,Fail,,120,,10,5,,4,0,0,2,1,1,2,,0,4,0,1,,0,0,0,0,0,0,30.94,1,86.71,3,2415.32,0,Invalid,0,15.37,1,0,0,
122,University of Salford,15,Fail,,113,,8,7,,2,4,1,0,0,0,1,,0,2,3,2,,0,0,0,0,0,0,25.25,1,148.23,1,760.14,3,-7.26,0,11.03,2,0,0,
124,University of Bedfordshire,14,Fail,,98,,7,7,,2,0,1,0,3,0,1,,0,2,3,2,,0,0,0,0,0,0,38.69,2,309.86,0,725.4,3,-58.84,0,8.99,2,0,0,
125,Queen Margaret University,13,Fail,,91,,2,11,,0,0,1,0,0,0,1,,0,3,4,4,,0,0,0,0,0,0,14.63,0,59.08,3,789.03,3,3.98,1,0.42,4,0,0,
126,University of Wolverhampton,12.5,Fail,,110,,5.5,7,,2,0,0,0,1,1.5,1,,0,2,2,3,,0,0,0,0,0,0,11.11,0,117.43,2,895.74,2,-0.83,0,8.45,3,0,0,
127,The School of Pharmacy,12,Fail,,124,,8,4,,0,6,0,0,2,0,0,,0,1,1,2,,0,0,0,0,0,0,7.94,0,211.28,1,1432.14,1,-3.38,0,9.22,2,0,0,
127,University of Bolton,12,Fail,,112,,2,10,,2,0,0,0,0,0,0,,0,0,8,2,,0,0,0,0,0,0,Invalid,0,Invalid,0,609.6,4,21.68,4,8.93,2,0,0,
129,Middlesex University,11,Fail,,116,,4,7,,2,0,0,0,1,1,0,,0,0,4,3,,0,0,0,0,0,0,20.46,0,393.52,0,536.63,4,Invalid,0,5.55,3,0,0,
129,Royal Academy of Music,11,Fail,,123,,7,4,,2,4,0,0,0,0,1,,0,1,1,2,,0,0,0,0,0,0,30.94,1,371.79,0,1456.42,1,-19.07,0,8.71,2,0,0,
131,University of Cumbria,10.5,Fail,,95,,4.5,6,,2,0,1.5,0,1,0,0,,0,1,2,3,,0,0,0,0,0,0,14.64,0,137.02,1,1100.52,2,-58.71,0,7.33,3,0,0,
132,Glyndwr University,6.5,Fail,,119,,6.5,0,,2,0,3.5,0,0,0,1,,0,0,0,0,,0,0,0,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,Invalid,0,
133,University College Plymouth St Mark & St John,6,Fail,,0,,1,5,,0,0,0,0,0,0,1,,0,2,2,1,,0,0,0,0,0,0,25.53,1,239.34,1,1195.83,2,Invalid,0,14.81,1,0,0,
0,The Central School of Speech And Drama,----,Did not sit exam,,0,,0,12,X,0,0,0,0,0,0,0,,0,5,3,4,,0,0,0,0,0,0,59.39,4,204.35,1,706.1,3,-27.38,0,3.89,4,0,0,
0,"University of Wales, Lampeter",----,Did not sit exam,,126,,0,11,X,0,0,0,0,0,0,0,,1,8,1,1,,0,0,1,1,0,0,71.64,4,47.06,4,1795.96,1,-2.11,0,15.94,1,0,0,
0,St. Mary's College,----,Did not sit exam,,0,,1.5,9,X,0,0,0,0,0,1.5,0,,0,4,2,3,,0,0,0,0,0,0,19.1,0,45.92,4,1039.05,2,Invalid,0,8.68,3,0,0,
0,Trinity University College,----,Did not sit exam,,122,,1.5,6,X,0,0,0,0,0,1.5,0,,0,3,1,2,,0,0,0,0,0,0,14.91,0,77.47,3,1420.51,1,Invalid,0,8.94,2,0,0,
